Rank,EntryId,EntryName,Points,Player,Roster Position,Drafted,FPTS,,,,,,,,
37,1063650913,CoachS111,74.7,Avisail Garcia,OF,8.82,6,Charlie Morton,Jake Arrieta,Evan Gattis,Mitch Moreland,Neil Walker,Jace Peterson,Carlos Correa,"Aaron Judge,Dexter Fowler,Leury Garcia"
38,1063698813,lane,74.1,Kyle Schwarber,OF,8.82,0,Reynaldo Lopez,Jordan Montgomery,Willson Contreras,Ryan Braun,Ben Zobrist,Kris Bryant,Addison Russell,"Aaron Judge,Kyle Schwarber,Lorenzo Cain"
39,1063612291,EmpireMaker2,73.9,Dexter Fowler,OF,8.82,0,Eduardo Rodriguez,Luke Weaver,Willson Contreras,Neil Walker,Jason Kipnis,Alex Bregman,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Domingo Santana"
40,1063603884,Awesemo,73.5,Andrew Knapp,C,8.82,3,Jake Arrieta,Jose Quintana,Andrew Knapp,Carlos Santana,Jason Kipnis,Jose Ramirez,J.P. Crawford,"Rhys Hoskins,Odubel Herrera,Tyler Naquin"
41,1063673265,GlennerationX,73.05,Mookie Betts,OF,8.82,16,Tyler Mahle,Reynaldo Lopez,Willson Contreras,Jose Martinez,Neil Walker,Miguel Andujar,Xander Bogaerts,"Giancarlo Stanton,Aaron Judge,J.D. Martinez"
41,1063696386,CJAX-DET,73.05,Lorenzo Cain,OF,7.35,6,Jordan Montgomery,Mike Fiers,Yadier Molina,Hanley Ramirez,Cesar Hernandez,Alex Bregman,Carlos Correa,"Mookie Betts,J.D. Martinez,Nicholas Castellanos"
43,1063710268,mister.liemtran,72.5,Odubel Herrera,OF,7.35,12,Jake Arrieta,Jose Quintana,Christian Vazquez,Neil Walker,Jose Altuve,Alex Bregman,Ketel Marte,"George Springer,Adam Duvall,Niko Goodrum"
44,1063553303,tfamularo,72.4,Joey Votto,1B,7.35,0,Jordan Montgomery,Luke Weaver,Willson Contreras,Edwin Encarnacion,Neil Walker,Kris Bryant,Carlos Correa,"Giancarlo Stanton,Michael Brantley,Ben Zobrist"
45,1063627204,BarOfSoap,70,Bradley Zimmer,OF,7.35,9,Charlie Morton,Mike Clevinger,Andrew Knapp,Jose Abreu,Yoan Moncada,Maikel Franco,J.P. Crawford,"Avisail Garcia,Odubel Herrera,Nicky Delmonico"
46,1063694907,steamroller6,69.8,Tyler Austin,1B,7.35,14,Mike Clevinger,Tyler Mahle,Yan Gomes,Edwin Encarnacion,Cesar Hernandez,Maikel Franco,J.P. Crawford,"Rhys Hoskins,Michael Brantley,Odubel Herrera"
47,1063582801,tenaciousdjones,68.3,Manny Machado,SS,7.35,8,Mike Clevinger,Jake Arrieta,Willson Contreras,Joey Votto,Ben Zobrist,Kris Bryant,Jose Peraza,"Albert Almora,Billy Hamilton,Jesse Winker"
48,1063575499,smccarty,66.25,Mitch Moreland,1B,5.88,9,Charlie Morton,Jordan Montgomery,Evan Gattis,Carlos Santana,Jose Ramirez,Jace Peterson,Carlos Correa,"Brett Gardner,Michael Brantley,Odubel Herrera"
49,1063584370,papagates,64.5,Jace Peterson,3B,5.88,6,Jake Arrieta,Jose Quintana,Willson Contreras,Joey Votto,Scooter Gennett,Kris Bryant,Jose Peraza,"Kyle Schwarber,Billy Hamilton,Bradley Zimmer"
50,1063710861,clark735,63.4,Evan Gattis,C,5.88,0,Jordan Montgomery,Luke Weaver,Yadier Molina,Neil Walker,Jose Altuve,Alex Bregman,Carlos Correa,"Aaron Judge,George Springer,Brett Gardner"
51,1063702663,rex21023,62.9,Albert Almora Jr.,OF,5.88,9,Eduardo Rodriguez,Luke Weaver,Victor Caratini,Jose Abreu,Neil Walker,Kris Bryant,Carlos Correa,"Giancarlo Stanton,George Springer,Brett Gardner"
52,1063672698,scout326,61.35,Mike Fiers,P,5.88,26.5,Jose Quintana,Luke Weaver,Welington Castillo,Jose Abreu,Jose Altuve,Alex Bregman,Carlos Correa,"George Springer,Avisail Garcia,Leury Garcia"
53,1063676620,36ryno,60.05,Josh Reddick,OF,5.88,19,Jose Quintana,Jordan Montgomery,Welington Castillo,Yonder Alonso,Neil Walker,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Brett Gardner,Michael Brantley"
54,1063711513,cmc1621,59.6,Cesar Hernandez,2B,5.88,9,Eduardo Rodriguez,Jordan Montgomery,Andrew Knapp,Joey Votto,Neil Walker,Maikel Franco,Xander Bogaerts,"Rhys Hoskins,Mookie Betts,J.D. Martinez"
55,1063572922,wakeywakey,58.1,Yan Gomes,C,5.88,16,Reynaldo Lopez,Jordan Montgomery,Willson Contreras,Ryan Braun,Ben Zobrist,Kris Bryant,Addison Russell,"Giancarlo Stanton,Kyle Schwarber,Domingo Santana"
56,1063690005,kwilson11,57.85,Marwin Gonzalez,1B,5.88,5,Mike Clevinger,Jordan Montgomery,Willson Contreras,Jose Martinez,Ben Zobrist,Kris Bryant,Addison Russell,"Lorenzo Cain,Ryan Braun,Domingo Santana"
57,1063594032,gridironguru999,56.4,Yonder Alonso,1B,5.88,5,Jordan Montgomery,Luke Weaver,Welington Castillo,Tyler Austin,Jose Ramirez,Kris Bryant,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Dexter Fowler"
58,1063586035,stalls18,55.1,Yadier Molina,C,5.88,5,Reynaldo Lopez,Jordan Montgomery,Evan Gattis,Ryan Braun,Jose Altuve,Matt Davidson,Carlos Correa,"Josh Reddick,Brett Gardner,Domingo Santana"
59,1063665748,da1andonlybc,54.4,Jose Martinez,1B,5.88,0,Jordan Montgomery,Luke Weaver,Willson Contreras,Joey Votto,Jason Kipnis,Kris Bryant,Francisco Lindor,"Giancarlo Stanton,Brett Gardner,Michael Brantley"
60,1063605130,mrgoodseats,52.4,Miguel Andujar,3B,5.88,14,Jordan Montgomery,Luke Weaver,Willson Contreras,Joey Votto,Jose Ramirez,Kris Bryant,Francisco Lindor,"Giancarlo Stanton,Michael Brantley,Domingo Santana"
60,1063605154,mrgoodseats,52.4,Manny Pina,C,4.41,0,Jordan Montgomery,Luke Weaver,Willson Contreras,Ryan Braun,Jose Ramirez,Kris Bryant,Francisco Lindor,"Giancarlo Stanton,Michael Brantley,Domingo Santana"
62,1063701922,dpcollects,51.4,Billy Hamilton,OF,4.41,0,Jordan Montgomery,Luke Weaver,Andrew Knapp,Carlos Santana,Jose Ramirez,Kris Bryant,Carlos Correa,"Giancarlo Stanton,Mookie Betts,Dexter Fowler"
63,1063609513,elstan11,51.05,Jesse Winker,OF,4.41,0,Tyler Mahle,Reynaldo Lopez,Andrew Knapp,Carlos Santana,Jose Altuve,Alex Bregman,Xander Bogaerts,"Rhys Hoskins,Andrew Benintendi,Nick Williams"
64,1063679824,ChipotleAddict,42.55,Matt Davidson,3B,4.41,2,Jake Arrieta,Jordan Montgomery,Willson Contreras,Ryan Braun,Jonathan Villar,Kris Bryant,Addison Russell,"Kyle Schwarber,Lorenzo Cain,Domingo Santana"
65,1063637085,chrishoops,41.85,J.P. Crawford,SS,4.41,0,Mike Clevinger,Jordan Montgomery,Welington Castillo,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Brett Gardner,Derek Fisher,Bradley Zimmer"
66,1063572935,wakeywakey,40.6,Ronald Torreyes,SS,4.41,7,Eduardo Rodriguez,Reynaldo Lopez,Manny Pina,Jesus Aguilar,Jose Altuve,Alex Bregman,Carlos Correa,"George Springer,Ryan Braun,Domingo Santana"
67,1063711675,McGhee24,35.6,Tyler Mahle,P,4.41,-1.5,Eduardo Rodriguez,Jordan Montgomery,Victor Caratini,Jesus Aguilar,Scooter Gennett,Kris Bryant,Carlos Correa,"Giancarlo Stanton,Aaron Judge,Ryan Braun"
68,1063672798,burnie4488,0,Andrew Benintendi,OF,4.41,7,,,,,,,,
,,,,Nick Williams,OF,4.41,5,,,,,,,,
,,,,Corey Dickerson,OF,4.41,14,,,,,,,,
,,,,Austin Romine,C,4.41,17,,,,,,,,
