Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
37,1063277541,REDCOAT85 (2/15),0,115.2,P Charlie Morton P José Quintana OF Giancarlo Stanton OF Brett Gardner SS Eduardo Núñez C Evan Gattis 2B Neil Walker 3B Matt Duffy OF Carlos Gómez 1B C.J. Cron,,Ryan Braun,1B,9.40%,0
38,1063277545,REDCOAT85 (6/15),0,114.7,P Charlie Morton P Jake Arrieta OF Aaron Judge OF Brett Gardner SS Eduardo Núñez 2B Neil Walker 3B Matt Duffy C Francisco Cervelli OF Carlos Gómez 1B C.J. Cron,,Victor Caratini,C,9.40%,5
39,1063135741,BirdWings (1/2),0,114.55,P Charlie Morton P Luke Weaver OF Aaron Judge SS Carlos Correa 3B Alex Bregman OF Josh Reddick OF Michael Brantley 1B Tyler Austin 2B Neil Walker C Victor Caratini,,Yoán Moncada,2B,9.40%,0
40,1063171652,bouncehouse22,0,114.4,P Jameson Taillon P Reynaldo López OF Aaron Judge 3B Matt Davidson 1B José Abreu OF Lorenzo Cain SS Tim Anderson OF Avisaíl García C Yan Gomes 2B Yolmer Sánchez,,Carlos Santana,1B,9.40%,2
41,1063467300,Awesemo (5/15),0,114.05,P José Quintana P Reynaldo López OF Rhys Hoskins 3B Kris Bryant 1B Carlos Santana C Willson Contreras 2B César Hernández OF Odúbel Herrera OF Ben Zobrist SS J.P. Crawford,,Mookie Betts,OF,9.20%,16
42,1063563131,easton136,0,113.7,P Jameson Taillon P Luke Weaver SS Francisco Lindor 2B José Ramírez 3B Manny Machado OF Josh Reddick 1B Josh Bell OF Brett Gardner OF Michael Brantley C Welington Castillo,,Xander Bogaerts,SS,9.20%,3
43,1063463714,Omnipoint,0,113.55,P Charlie Morton P Luke Weaver OF Giancarlo Stanton OF Aaron Judge 3B Mike Moustakas SS Tim Beckham 1B Tyler Austin C Yadier Molina 2B Neil Walker OF Nick Williams,,Maikel Franco,3B,8.60%,3
43,1063517258,shanksalot (1/3),0,113.55,P Charlie Morton P Luke Weaver OF Giancarlo Stanton 3B Manny Machado C Willson Contreras OF Brett Gardner OF Adam Jones 2B Neil Walker 1B Trey Mancini SS Ronald Torreyes,,Dexter Fowler,OF,8.60%,0
43,1063543184,isupol (1/4),0,113.55,P Charlie Morton P Luke Weaver OF Rhys Hoskins SS Carlos Correa 2B César Hernández 1B Marwin González 3B Maikel Franco OF Odúbel Herrera OF Nick Williams C Max Stassi,,Matt Davidson,3B,7.80%,2
46,1063054383,giantsquid (2/2),0,113.5,P Jake Arrieta P José Quintana 3B Kris Bryant OF Kyle Schwarber SS Manny Machado C Willson Contreras 2B Ben Zobrist OF Albert Almora Jr. OF Carlos Gómez 1B C.J. Cron,,J.D. Martinez,OF,7.80%,0
47,1063483750,Notorious,0,112.55,P Charlie Morton P Luke Weaver SS Carlos Correa OF George Springer OF Josh Reddick OF Marcell Ozuna C Evan Gattis 1B Tyler Austin 2B Neil Walker 3B Miguel Andújar,,Josh Reddick,OF,7.40%,19
47,1063486108,mazwa (3/10),0,112.55,P Charlie Morton P Luke Weaver OF Aaron Judge 3B Kris Bryant C Willson Contreras SS Addison Russell 2B Ben Zobrist 1B Justin Bour OF Albert Almora Jr. OF Nicky Delmonico,,Tommy Pham,OF,7.00%,2
47,1063567429,cpamike,0,112.55,P Charlie Morton P Jameson Taillon 1B Carlos Santana 3B Manny Machado 2B César Hernández OF José Martínez OF Odúbel Herrera OF Trey Mancini C Francisco Cervelli SS Jordy Mercer,,Yan Gomes,C,6.60%,16
50,1063107957,wcdenin24 (4/8),0,112.4,P Jameson Taillon P Reynaldo López OF Giancarlo Stanton SS Francisco Lindor 3B José Ramírez 2B Jason Kipnis OF Adam Jones C Yan Gomes 1B Neil Walker OF Carlos Gómez,,Matt Carpenter,1B,6.40%,2
51,1063108461,youdacao (7/15),0,111.7,P Jameson Taillon P Luke Weaver OF Mookie Betts 3B Kris Bryant OF J.D. Martinez SS Manny Machado OF Adam Jones 2B Jonathan Schoop 1B Trey Mancini C Caleb Joseph,,César Hernández,2B,6.40%,9
51,1063140943,ezellmt,0,111.7,P Jameson Taillon P Luke Weaver OF Giancarlo Stanton OF Aaron Judge 3B Kris Bryant SS Manny Machado OF Brett Gardner 2B Neil Walker 1B Trey Mancini C Victor Caratini,,Tyler Austin,1B,6.40%,14
53,1063446713,cubbiesfan202,0,111.6,P Eduardo Rodríguez P Reynaldo López OF Mookie Betts OF J.D. Martinez SS Xander Bogaerts 1B Hanley Ramirez C Willson Contreras 3B Rafael Devers 2B Ben Zobrist OF Hernán Pérez,,Trey Mancini,1B,6.40%,5
54,1063099382,hoop2410,0,111.55,P Charlie Morton P Luke Weaver SS Carlos Correa OF George Springer 3B Alex Bregman OF Josh Reddick OF Brett Gardner 2B Ben Zobrist 1B Neil Walker C Victor Caratini,,Lorenzo Cain,OF,6.20%,6
55,1063531568,fontastic,0,111.5,P Jake Arrieta P José Quintana OF Giancarlo Stanton OF Aaron Judge SS Manny Machado OF Adam Jones 1B Tyler Austin 2B Neil Walker 3B Miguel Andújar C Victor Caratini,,Marcell Ozuna,OF,6.00%,3
56,1063467306,Awesemo (11/15),0,110.55,P Charlie Morton P Luke Weaver OF Aaron Judge 3B Kris Bryant OF Brett Gardner SS Addison Russell 2B Ben Zobrist 1B Neil Walker OF Albert Almora Jr. C Victor Caratini,,Nicky Delmonico,OF,5.80%,2
