Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
39,1063512577,Omnipoint (1/2),0,78.55,P Charlie Morton P Luke Weaver SS Francisco Lindor 3B José Ramírez 1B Yonder Alonso 2B Jason Kipnis OF Marcell Ozuna OF Tommy Pham C Yadier Molina OF Bradley Zimmer,,Josh Reddick,OF,8.57%,19
40,1063024537,papagates (2/2),0,77,P José Quintana P Mike Fiers 3B Kris Bryant SS Francisco Lindor 1B Edwin Encarnacion OF Kyle Schwarber C Willson Contreras 2B Jason Kipnis OF Billy Hamilton OF Bradley Zimmer,,Tommy Pham,OF,8.57%,2
41,1063467461,Awesemo (2/2),0,76.05,P José Quintana P Reynaldo López 3B Kris Bryant OF Kyle Schwarber 1B José Abreu C Willson Contreras 2B Yoán Moncada SS Addison Russell OF Albert Almora Jr. OF Nicky Delmonico,,Victor Caratini,C,8.57%,5
42,1063459739,Duncaroo,0,75.35,P Tyler Mahle P Luke Weaver OF Giancarlo Stanton OF Mookie Betts SS Francisco Lindor 3B José Ramírez 1B Yonder Alonso 2B Jason Kipnis C Yan Gomes OF Odúbel Herrera,,Marcell Ozuna,OF,8.57%,3
43,1063508402,jtufl04,0,75.15,P Mike Clevinger P Luke Weaver OF Giancarlo Stanton 3B Kris Bryant SS Carlos Correa 2B José Ramírez OF Domingo Santana OF Albert Almora Jr. 1B C.J. Cron C Victor Caratini,,Mike Fiers,P,7.14%,26.5
44,1063466850,andyv718,0,72.55,P Charlie Morton P Luke Weaver 2B José Altuve C Willson Contreras 3B Alex Bregman SS Paul DeJong OF Marcell Ozuna OF Tommy Pham 1B Matt Carpenter OF Dexter Fowler,,Bradley Zimmer,OF,7.14%,9
45,1063392778,tastefultides (2/2),0,72.05,P José Quintana P Jordan Montgomery OF Rhys Hoskins 3B Kris Bryant 1B Edwin Encarnacion C Willson Contreras 2B Jason Kipnis SS Addison Russell OF Odúbel Herrera OF Nick Williams,,Manny Machado,SS,7.14%,8
46,1063486266,mazwa (2/2),0,70.75,P Charlie Morton P Eduardo Rodríguez SS Francisco Lindor C Willson Contreras 3B Alex Bregman OF Tommy Pham OF Michael Brantley 2B Derek Dietrich 1B Justin Bour OF Dexter Fowler,,Yonder Alonso,1B,7.14%,5
47,1063302318,fortheoffice (2/2),0,70.35,P José Quintana P Luke Weaver OF Rhys Hoskins SS Francisco Lindor 1B Edwin Encarnacion 3B José Ramírez 2B Jason Kipnis OF Michael Brantley C Welington Castillo OF Dexter Fowler,,Maikel Franco,3B,7.14%,3
48,1063489006,jamesreidjr,0,67.6,P Eduardo Rodríguez P Reynaldo López OF Giancarlo Stanton OF Aaron Judge 3B Kris Bryant SS Xander Bogaerts OF Brett Gardner 1B Neil Walker 2B Scooter Gennett C Tucker Barnhart,,J.D. Martinez,OF,7.14%,0
