Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
34,1063702822,slewyyy,0,71.05,P Tyler Mahle P Reynaldo López OF Rhys Hoskins OF Aaron Judge SS Carlos Correa 3B Matt Davidson OF Brett Gardner 2B César Hernández 1B Neil Walker C Tucker Barnhart,,Eduardo Rodríguez,P,11.86%,12.05
35,1063584936,gridironguru999,0,70.4,P Reynaldo López P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Francisco Lindor 3B Matt Davidson 1B José Abreu C Welington Castillo 2B Neil Walker OF Dexter Fowler,,Kyle Schwarber,OF,11.86%,0
36,1063687017,steamroller6,0,69.8,P Mike Clevinger P Tyler Mahle OF Rhys Hoskins 1B Edwin Encarnacion 2B César Hernández 3B Maikel Franco OF Michael Brantley C Yan Gomes OF Odúbel Herrera SS J.P. Crawford,,Addison Russell,SS,11.86%,0
37,1063627988,thequisling,0,69.4,P Jordan Montgomery P Luke Weaver OF Aaron Judge OF J.D. Martinez SS Carlos Correa OF Kyle Schwarber 1B José Abreu C Willson Contreras 2B Yoán Moncada 3B Miguel Andújar,,Ben Zobrist,2B,11.86%,17
38,1063662348,tklein2,0,67.7,P Charlie Morton P Jake Arrieta SS Manny Machado 3B Eugenio Suárez 2B César Hernández OF Marcell Ozuna C Yadier Molina 1B José Martínez OF Nicky Delmonico OF Jesse Winker,,José Altuve,2B,10.17%,0
39,1063666082,Jeaymack,0,66.15,P Mike Clevinger P Luke Weaver OF J.D. Martinez 3B Matt Davidson 1B José Abreu SS Manny Machado OF Avisaíl García C Welington Castillo 2B Neil Walker OF Dexter Fowler,,Yan Gomes,C,10.17%,16
40,1063584368,papagates (1/2),0,64.5,P Jake Arrieta P José Quintana 3B Kris Bryant OF Kyle Schwarber 1B Joey Votto C Willson Contreras 2B Scooter Gennett OF Billy Hamilton OF Bradley Zimmer SS José Peraza,,Marcell Ozuna,OF,10.17%,3
41,1063610271,PapaAce,0,64.05,P Jake Arrieta P Eduardo Rodríguez OF J.D. Martinez SS Xander Bogaerts 3B Rafael Devers 2B Jason Kipnis OF Marcell Ozuna OF Michael Brantley C Yan Gomes 1B José Martínez,,J.D. Martinez,OF,10.17%,0
42,1063703043,kfalik (1/2),0,63.55,P Jake Arrieta P Jordan Montgomery OF Giancarlo Stanton 2B José Altuve 1B Edwin Encarnacion SS Xander Bogaerts OF Ben Zobrist OF Corey Dickerson 3B Matt Duffy C Victor Caratini,,José Abreu,1B,10.17%,2
43,1063547763,ararat73,0,63.15,P Mike Clevinger P Luke Weaver SS Francisco Lindor 1B Edwin Encarnacion 2B José Ramírez OF Ryan Braun 3B Eugenio Suárez C Yan Gomes OF Domingo Santana OF Hernán Pérez,,Welington Castillo,C,10.17%,0
