Rank,EntryId,EntryName,Points,Player,Roster Position,Drafted,FPTS,,,,,,,,
352,1063573394,baise085,68.85,,,,,Jake Arrieta,Luke Weaver,Victor Caratini,Edwin Encarnacion,Jose Altuve,Jose Ramirez,Francisco Lindor,"Josh Reddick,Michael Brantley,Jose Martinez"
353,1063156173,scout326,68.55,,,,,Charlie Morton,Luke Weaver,Evan Gattis,Jose Abreu,Jose Altuve,Alex Bregman,Tim Anderson,"Avisail Garcia,Nicky Delmonico,Leury Garcia"
353,1063530961,bquicksix,68.55,,,,,Charlie Morton,Luke Weaver,Manny Pina,Jesus Aguilar,Jason Kipnis,Manny Machado,Francisco Lindor,"Lorenzo Cain,Ryan Braun,Domingo Santana"
355,1063024479,papagates,68.5,,,,,Jake Arrieta,Jose Quintana,Willson Contreras,Lucas Duda,Whit Merrifield,Mike Moustakas,Addison Russell,"Kyle Schwarber,Billy Hamilton,Alex Gordon"
356,1063467476,mjmart23,68.4,,,,,Reynaldo Lopez,Luke Weaver,Francisco Cervelli,Jose Abreu,Jason Kipnis,Kris Bryant,Manny Machado,"Giancarlo Stanton,George Springer,Brett Gardner"
357,1063486106,mazwa,67.75,,,,,Charlie Morton,Eduardo Rodriguez,Willson Contreras,Justin Bour,Derek Dietrich,Alex Bregman,Francisco Lindor,"Tommy Pham,Domingo Santana,Dexter Fowler"
358,1063488976,jamesreidjr,67.6,,,,,Eduardo Rodriguez,Reynaldo Lopez,Tucker Barnhart,Neil Walker,Scooter Gennett,Kris Bryant,Xander Bogaerts,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
359,1063423670,wilson1,67.55,,,,,Charlie Morton,Luke Weaver,Evan Gattis,Neil Walker,Jose Altuve,Alex Bregman,Carlos Correa,"Brett Gardner,Dexter Fowler,Jesse Winker"
359,1063523550,fantasyfever,67.55,,,,,Jake Arrieta,Jordan Montgomery,Yan Gomes,Edwin Encarnacion,Jace Peterson,Jose Ramirez,Francisco Lindor,"George Springer,Josh Reddick,Michael Brantley"
361,1063179603,jwestphal708,67.4,,,,,Jordan Montgomery,Luke Weaver,Yadier Molina,Hanley Ramirez,Jose Altuve,Alex Bregman,Xander Bogaerts,"Aaron Judge,Andrew Benintendi,Jose Martinez"
362,1063039209,IamPGM,67.05,,,,,Jake Arrieta,Eduardo Rodriguez,Willson Contreras,Neil Walker,Jason Kipnis,Jace Peterson,Carlos Correa,"Giancarlo Stanton,Brett Gardner,Michael Brantley"
363,1063296165,Signature,66.55,,,,,Charlie Morton,Luke Weaver,Evan Gattis,Edwin Encarnacion,Jace Peterson,Kris Bryant,Carlos Correa,"Marwin Gonzalez,Michael Brantley,Billy Hamilton"
364,1062996441,ChipotleAddict,66.5,,,,,Jake Arrieta,Mike Fiers,Yan Gomes,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Lorenzo Cain,Ryan Braun,Domingo Santana"
365,1063350874,fantasysportsking55,66.45,,,,,Luke Weaver,Trevor Richards,Austin Romine,Edwin Encarnacion,Jose Altuve,Jose Ramirez,Carlos Correa,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
366,1063309958,jeremyshow,66.05,,,,,Tyler Mahle,Reynaldo Lopez,Victor Caratini,Carlos Santana,Cesar Hernandez,Christian Villanueva,Xander Bogaerts,"Rhys Hoskins,Mookie Betts,J.D. Martinez"
367,1063363275,nawmsayin,65.9,,,,,Eduardo Rodriguez,Luke Weaver,Evan Gattis,Carlos Santana,Cesar Hernandez,Alex Bregman,Carlos Correa,"Rhys Hoskins,George Springer,Nick Williams"
368,1063388276,bric75,65.5,,,,,Jake Arrieta,Jose Quintana,Andrew Knapp,Jose Abreu,Yoan Moncada,Kris Bryant,J.P. Crawford,"Rhys Hoskins,Avisail Garcia,Nick Williams"
369,1063542800,McJester,65.45,,,,,Luke Weaver,Trevor Richards,Willson Contreras,Justin Bour,Derek Dietrich,Kris Bryant,Carlos Correa,"Giancarlo Stanton,Aaron Judge,George Springer"
370,1063156169,scout326,65.35,,,,,Jose Quintana,Luke Weaver,Victor Caratini,Jose Abreu,Jose Altuve,Alex Bregman,Carlos Correa,"Giancarlo Stanton,Tommy Pham,Avisail Garcia"
371,1063429231,Wendt14,65.2,,,,,Charlie Morton,Tyler Mahle,Jesus Sucre,Edwin Encarnacion,Ben Zobrist,Kris Bryant,Jose Peraza,"Aaron Judge,Billy Hamilton,Bradley Zimmer"
372,1063277548,REDCOAT85,64.9,,,,,Eduardo Rodriguez,Luke Weaver,Evan Gattis,Justin Bour,Jose Altuve,Alex Bregman,Carlos Correa,"Giancarlo Stanton,Josh Reddick,Derek Dietrich"
372,1063435695,dahladino,64.9,,,,,Eduardo Rodriguez,Luke Weaver,Welington Castillo,Jose Abreu,Yoan Moncada,Matt Davidson,Ronald Torreyes,"Giancarlo Stanton,Aaron Judge,Avisail Garcia"
374,1063467309,Awesemo,64.7,,,,,Charlie Morton,Jake Arrieta,Victor Caratini,Matt Carpenter,Ben Zobrist,Kris Bryant,Paul DeJong,"Tommy Pham,Jose Martinez,Dexter Fowler"
375,1063438238,Zeechamp,64.6,,,,,Eduardo Rodriguez,Reynaldo Lopez,Willson Contreras,Jose Abreu,Jason Kipnis,Kris Bryant,Francisco Lindor,"Kyle Schwarber,Michael Brantley,Albert Almora"
375,1063524435,GrindersCal,64.6,,,,,Charlie Morton,Mike Clevinger,Andrew Knapp,Matt Carpenter,Niko Goodrum,Maikel Franco,Paul DeJong,"Marcell Ozuna,Tommy Pham,Jose Martinez"
377,1063024472,papagates,64.5,,,,,Jake Arrieta,Jose Quintana,Willson Contreras,Joey Votto,Scooter Gennett,Kris Bryant,Jose Peraza,"Kyle Schwarber,Billy Hamilton,Bradley Zimmer"
378,1063483457,Tommyg1979,64.1,,,,,Mike Fiers,Trevor Richards,Yan Gomes,Marwin Gonzalez,Jose Altuve,Alex Bregman,Carlos Correa,"Giancarlo Stanton,Aaron Judge,George Springer"
379,1063388277,bric75,63.85,,,,,Jake Arrieta,Luke Weaver,Yadier Molina,Carlos Santana,Cesar Hernandez,Jose Ramirez,Paul DeJong,"George Springer,Marcell Ozuna,Tommy Pham"
380,1063467296,Awesemo,63.7,,,,,Charlie Morton,Jake Arrieta,Welington Castillo,Jose Abreu,Yoan Moncada,Jeimer Candelario,Jose Iglesias,"Avisail Garcia,Leonys Martin,Nicky Delmonico"
381,1063336372,kfalik,63.55,,,,,Jake Arrieta,Jordan Montgomery,Victor Caratini,Edwin Encarnacion,Jose Altuve,Matt Duffy,Xander Bogaerts,"Giancarlo Stanton,Ben Zobrist,Corey Dickerson"
382,1063477811,ehafner,63.45,,,,,Mike Clevinger,Reynaldo Lopez,Welington Castillo,Jose Abreu,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Avisail Garcia,Michael Brantley,Bradley Zimmer"
383,1063405287,wcdenin24,63.4,,,,,Jameson Taillon,Jordan Montgomery,Welington Castillo,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Lorenzo Cain,Ryan Braun,Carlos Gomez"
384,1063216196,rex21023,62.9,,,,,Eduardo Rodriguez,Luke Weaver,Victor Caratini,Jose Abreu,Neil Walker,Kris Bryant,Carlos Correa,"Giancarlo Stanton,George Springer,Brett Gardner"
384,1063546799,bryito12,62.9,,,,,Eduardo Rodriguez,Luke Weaver,Willson Contreras,Jose Abreu,Yoan Moncada,Matt Davidson,Carlos Correa,"Giancarlo Stanton,Avisail Garcia,Nicky Delmonico"
386,1063536947,REDCOAT85,62.55,,,,,Jose Quintana,Eduardo Rodriguez,Welington Castillo,Jose Abreu,Neil Walker,Alex Bregman,Carlos Correa,"George Springer,Brett Gardner,Nicky Delmonico"
387,1063296217,fortheoffice,62.4,,,,,Jordan Montgomery,Luke Weaver,Willson Contreras,Jose Abreu,Jose Ramirez,Kris Bryant,Francisco Lindor,"Giancarlo Stanton,Avisail Garcia,Albert Almora"
388,1063576497,RKiley03,62.2,,,,,Charlie Morton,Tyler Mahle,Evan Gattis,Lucas Duda,Yoan Moncada,Mike Moustakas,Manny Machado,"Kyle Schwarber,Adam Jones,Niko Goodrum"
389,1063576185,jabbourj2,62.1,,,,,Reynaldo Lopez,Jordan Montgomery,Victor Caratini,Neil Walker,Jose Ramirez,Kris Bryant,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
390,1063024477,papagates,62.05,,,,,Jose Quintana,Jordan Montgomery,Willson Contreras,Yonder Alonso,Jason Kipnis,Jose Ramirez,Addison Russell,"Kyle Schwarber,Billy Hamilton,Bradley Zimmer"
390,1063024480,papagates,62.05,,,,,Jose Quintana,Jordan Montgomery,Willson Contreras,Edwin Encarnacion,Jose Ramirez,Kris Bryant,Jose Peraza,"Kyle Schwarber,Michael Brantley,Bradley Zimmer"
392,1063574796,TheGold1,62,,,,,Jose Quintana,Tyler Mahle,Welington Castillo,Neil Walker,Yoan Moncada,Alex Bregman,Carlos Correa,"George Springer,Josh Reddick,Avisail Garcia"
393,1063481977,fallfromgrace,61.9,,,,,Eduardo Rodriguez,Luke Weaver,Evan Gattis,Jose Abreu,Yoan Moncada,Alex Bregman,Carlos Correa,"George Springer,Josh Reddick,Domingo Santana"
394,1063239068,myb821,61.85,,,,,Chase Anderson,Reynaldo Lopez,Welington Castillo,Jose Abreu,Jose Altuve,Matt Davidson,Carlos Correa,"Josh Reddick,Avisail Garcia,Nicky Delmonico"
394,1063388278,bric75,61.85,,,,,Jake Arrieta,Luke Weaver,Evan Gattis,Neil Walker,Jace Peterson,Alex Bregman,Carlos Correa,"Giancarlo Stanton,George Springer,Brett Gardner"
396,1063438197,tinderella,61.55,,,,,Jose Quintana,Eduardo Rodriguez,Evan Gattis,Matt Carpenter,Jose Altuve,Alex Bregman,Carlos Correa,"Josh Reddick,Tommy Pham,Dexter Fowler"
397,1063270541,ejs39861,61.4,,,,,Jordan Montgomery,Luke Weaver,Welington Castillo,Jose Abreu,Neil Walker,Jose Ramirez,Carlos Correa,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
397,1063381687,zsavior,61.4,,,,,Jordan Montgomery,Luke Weaver,Welington Castillo,Jose Abreu,Neil Walker,Jose Ramirez,Carlos Correa,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
397,1063532453,longgg,61.4,,,,,Reynaldo Lopez,Luke Weaver,Tucker Barnhart,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Jose Martinez"
400,1063156162,scout326,61.35,,,,,Jose Quintana,Luke Weaver,Welington Castillo,Jose Abreu,Jose Altuve,Alex Bregman,Carlos Correa,"George Springer,Avisail Garcia,Leury Garcia"
401,1063523200,Legit-Storm,61.25,,,,,Charlie Morton,Jordan Montgomery,Yan Gomes,Yonder Alonso,Jason Kipnis,Alex Bregman,Francisco Lindor,"Lorenzo Cain,Michael Brantley,Dexter Fowler"
402,1063467304,Awesemo,61.05,,,,,Jordan Montgomery,Mike Fiers,Evan Gattis,Neil Walker,Jose Altuve,Alex Bregman,Carlos Correa,"Aaron Judge,George Springer,Brett Gardner"
403,1063524555,Wreck-Havoc-22,60.95,,,,,Mike Clevinger,Eduardo Rodriguez,Andrew Knapp,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Michael Brantley,Odubel Herrera,Niko Goodrum"
403,1063532712,Wreck-Havoc-22,60.95,,,,,Mike Clevinger,Eduardo Rodriguez,Andrew Knapp,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Michael Brantley,Odubel Herrera,Niko Goodrum"
405,1063228800,ThatStunna,60.9,,,,,Eduardo Rodriguez,Luke Weaver,Evan Gattis,Marwin Gonzalez,Neil Walker,Alex Bregman,Carlos Correa,"Giancarlo Stanton,George Springer,Brett Gardner"
406,1063422556,yolegacy,60.6,,,,,Eduardo Rodriguez,Jordan Montgomery,Tucker Barnhart,Tyler Austin,Neil Walker,Kris Bryant,Xander Bogaerts,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
406,1063579876,SamENole,60.6,,,,,Eduardo Rodriguez,Reynaldo Lopez,Evan Gattis,Jesus Aguilar,Jose Altuve,Alex Bregman,Carlos Correa,"Lorenzo Cain,Ryan Braun,Josh Reddick"
408,1063477038,yolegacy,60.55,,,,,Jake Arrieta,Reynaldo Lopez,Tucker Barnhart,Jose Abreu,Yoan Moncada,Matt Davidson,Xander Bogaerts,"Aaron Judge,Avisail Garcia,Nicky Delmonico"
409,1063580395,ryanmax,60.45,,,,,Mike Clevinger,Jordan Montgomery,Andrew Knapp,Carlos Santana,Neil Walker,Jose Ramirez,Francisco Lindor,"Andrew Benintendi,Michael Brantley,Odubel Herrera"
410,1063108463,youdacao,60.35,,,,,Jose Quintana,Luke Weaver,Welington Castillo,Jose Abreu,Jose Altuve,Kris Bryant,Carlos Correa,"Avisail Garcia,Nicky Delmonico,Leury Garcia"
411,1063109981,shawnzhan,60.2,,,,,Charlie Morton,Mike Fiers,Manny Pina,Ryan Braun,Jonathan Villar,Alex Bregman,Orlando Arcia,"Giancarlo Stanton,Kyle Schwarber,Domingo Santana"
411,1063558764,lvonderspark92,60.2,,,,,Mike Clevinger,Chase Anderson,Yadier Molina,Jose Martinez,Cesar Hernandez,Maikel Franco,Paul DeJong,"Lorenzo Cain,Ryan Braun,Odubel Herrera"
413,1063175931,moklovin,60.05,,,,,Jose Quintana,Reynaldo Lopez,Evan Gattis,Neil Walker,Jose Altuve,Alex Bregman,Carlos Correa,"Giancarlo Stanton,Dexter Fowler,Derek Fisher"
413,1063508069,VinceLN30,60.05,,,,,Tyler Mahle,Reynaldo Lopez,Jesus Sucre,Edwin Encarnacion,Yoan Moncada,Maikel Franco,Francisco Lindor,"Rhys Hoskins,Aaron Judge,Odubel Herrera"
415,1063574048,Stallion33,59.55,,,,,Jake Arrieta,Jordan Montgomery,Evan Gattis,Neil Walker,Yoan Moncada,Miguel Andujar,Ronald Torreyes,"Giancarlo Stanton,Aaron Judge,George Springer"
416,1063370176,jaker1soe,59.45,,,,,Mike Clevinger,Reynaldo Lopez,Yadier Molina,Yonder Alonso,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Marcell Ozuna,Michael Brantley,Dexter Fowler"
416,1063408434,wcdenin24,59.45,,,,,Jameson Taillon,Trevor Richards,Welington Castillo,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Starling Marte,Lorenzo Cain,Ryan Braun"
418,1063387469,bric75,59.4,,,,,Jordan Montgomery,Luke Weaver,Evan Gattis,Neil Walker,Jose Altuve,Alex Bregman,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Odubel Herrera"
419,1063108467,youdacao,59.35,,,,,Jose Quintana,Luke Weaver,Evan Gattis,Jose Abreu,Jose Altuve,Alex Bregman,Carlos Correa,"George Springer,Domingo Santana,Nicky Delmonico"
420,1063160150,theOGking_tay,59.25,,,,,Charlie Morton,Jordan Montgomery,Welington Castillo,Tyler Austin,Yolmer Sanchez,Matt Davidson,Carlos Correa,"Aaron Judge,Nicky Delmonico,Leury Garcia"
421,1063024483,papagates,59.05,,,,,Jose Quintana,Jordan Montgomery,Yan Gomes,Yonder Alonso,Jason Kipnis,Kris Bryant,Addison Russell,"Kyle Schwarber,Billy Hamilton,Bradley Zimmer"
422,1063355919,Crafty2408,58.45,,,,,Mike Clevinger,Jordan Montgomery,Willson Contreras,Ryan Braun,Ben Zobrist,Kris Bryant,Addison Russell,"Lorenzo Cain,Jose Martinez,Domingo Santana"
422,1063578421,matthewm1627,58.45,,,,,Mike Clevinger,Jordan Montgomery,Willson Contreras,Jose Martinez,Ben Zobrist,Kris Bryant,Addison Russell,"Lorenzo Cain,Ryan Braun,Domingo Santana"
424,1063375359,fjbourne,58.4,,,,,Jordan Montgomery,Luke Weaver,Victor Caratini,Marwin Gonzalez,Jose Altuve,Kris Bryant,Carlos Correa,"George Springer,Kyle Schwarber,Josh Reddick"
424,1063467695,ComingUpShort,58.4,,,,,Mike Clevinger,Taijuan Walker,Victor Caratini,Neil Walker,Jose Altuve,Jose Ramirez,Adeiny Hechavarria,"Giancarlo Stanton,Derek Dietrich,Domingo Santana"
426,1063517397,TheJT9,58.35,,,,,Jose Quintana,Luke Weaver,Evan Gattis,Jose Abreu,Jose Ramirez,Alex Bregman,Carlos Correa,"Giancarlo Stanton,Tommy Pham,Dexter Fowler"
427,1063467301,Awesemo,58.25,,,,,Charlie Morton,Reynaldo Lopez,Evan Gattis,Jose Abreu,Yoan Moncada,Alex Bregman,Carlos Correa,"Avisail Garcia,Nicky Delmonico,Leury Garcia"
428,1063240129,bradhr,58.1,,,,,Reynaldo Lopez,Jordan Montgomery,Yadier Molina,Edwin Encarnacion,Jose Altuve,Maikel Franco,Carlos Correa,"Aaron Judge,Brett Gardner,Avisail Garcia"
428,1063352630,wakeywakey,58.1,,,,,Reynaldo Lopez,Jordan Montgomery,Willson Contreras,Ryan Braun,Ben Zobrist,Kris Bryant,Addison Russell,"Giancarlo Stanton,Kyle Schwarber,Domingo Santana"
430,1063109980,shawnzhan,58.05,,,,,Jose Quintana,Reynaldo Lopez,Welington Castillo,Jose Abreu,Yoan Moncada,Alex Bregman,Francisco Lindor,"Giancarlo Stanton,Avisail Garcia,Nicky Delmonico"
431,1063536946,REDCOAT85,57.85,,,,,Jake Arrieta,Luke Weaver,Welington Castillo,Jose Abreu,Neil Walker,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Michael Brantley,Nicky Delmonico"
432,1063232729,davewiff,57.55,,,,,Jake Arrieta,Reynaldo Lopez,Welington Castillo,Jose Abreu,Jose Ramirez,Matt Davidson,Tim Anderson,"Ryan Braun,Avisail Garcia,Domingo Santana"
433,1063580012,ryanmax,57.4,,,,,Jordan Montgomery,Luke Weaver,Victor Caratini,Neil Walker,Jose Altuve,Kris Bryant,Carlos Correa,"Giancarlo Stanton,Aaron Judge,Michael Brantley"
434,1063486110,mazwa,57.25,,,,,Charlie Morton,Jordan Montgomery,Evan Gattis,Miguel Cabrera,Niko Goodrum,Jeimer Candelario,Francisco Lindor,"Nicholas Castellanos,Tommy Pham,Leonys Martin"
435,1063463048,Bozie11,56.9,,,,,Eduardo Rodriguez,Luke Weaver,Evan Gattis,Jose Abreu,Yoan Moncada,Matt Davidson,Carlos Correa,"George Springer,Brett Gardner,Avisail Garcia"
436,1063310255,fortheoffice,56.75,,,,,Mike Clevinger,Luke Weaver,Welington Castillo,Jose Abreu,Yoan Moncada,Matt Davidson,Addison Russell,"Kyle Schwarber,Avisail Garcia,Jason Heyward"
436,1063450244,yolegacy,56.75,,,,,Mike Clevinger,Luke Weaver,Yadier Molina,Jose Martinez,Jose Ramirez,Kris Bryant,Xander Bogaerts,"Marcell Ozuna,Tommy Pham,Dexter Fowler"
438,1063522705,Legit-Storm,56.45,,,,,Mike Clevinger,Jordan Montgomery,Max Stassi,Neil Walker,Yoan Moncada,Alex Bregman,Carlos Correa,"George Springer,Brett Gardner,Dexter Fowler"
439,1063170894,tj2312,56.05,,,,,Tyler Mahle,Reynaldo Lopez,Welington Castillo,Joey Votto,Eduardo Nunez,Manny Machado,Carlos Correa,"Giancarlo Stanton,Brett Gardner,Adam Jones"
440,1063070523,felder15,55.4,,,,,Jordan Montgomery,Luke Weaver,Manny Pina,Jose Abreu,Yoan Moncada,Matt Davidson,Didi Gregorius,"Giancarlo Stanton,Aaron Judge,Avisail Garcia"
440,1063108460,youdacao,55.4,,,,,Jordan Montgomery,Luke Weaver,Willson Contreras,Jose Abreu,Jose Altuve,Alex Bregman,Carlos Correa,"George Springer,Avisail Garcia,Derek Fisher"
442,1063208208,mgrazi111,55.25,,,,,Charlie Morton,Jordan Montgomery,Victor Caratini,Jesus Aguilar,Ben Zobrist,Kris Bryant,Addison Russell,"Kyle Schwarber,Ryan Braun,Domingo Santana"
443,1063495106,Tlawson2018,54.75,,,,,Mike Clevinger,Luke Weaver,Welington Castillo,Edwin Encarnacion,Jason Kipnis,Matt Davidson,Francisco Lindor,"Avisail Garcia,Michael Brantley,Nicky Delmonico"
444,1062996438,ChipotleAddict,53.55,,,,,Jake Arrieta,Reynaldo Lopez,Welington Castillo,Jose Abreu,Yoan Moncada,Jose Ramirez,Francisco Lindor,"Ryan Braun,Michael Brantley,Bradley Zimmer"
445,1063543251,isupol,53.4,,,,,Jordan Montgomery,Luke Weaver,Andrew Knapp,Carlos Santana,Jose Altuve,Maikel Franco,Carlos Correa,"Rhys Hoskins,George Springer,Marwin Gonzalez"
445,1063553180,Wheater23,53.4,,,,,Jordan Montgomery,Luke Weaver,Jesus Sucre,Carlos Santana,Jose Altuve,Alex Bregman,Carlos Correa,"Aaron Judge,George Springer,Brett Gardner"
447,1063471455,ragingphilip,53.25,,,,,Charlie Morton,Jordan Montgomery,Evan Gattis,Justin Bour,Derek Dietrich,Alex Bregman,Francisco Lindor,"Aaron Judge,Domingo Santana,Dexter Fowler"
448,1063477818,ehafner,52.45,,,,,Mike Clevinger,Reynaldo Lopez,Welington Castillo,Jose Abreu,Yoan Moncada,Matt Davidson,Paul DeJong,"Marcell Ozuna,Tommy Pham,Avisail Garcia"
449,1063511840,TeeJayOrTj,52.4,,,,,Jordan Montgomery,Luke Weaver,Willson Contreras,Joey Votto,Jose Ramirez,Kris Bryant,Francisco Lindor,"Giancarlo Stanton,Michael Brantley,Domingo Santana"
449,1063529142,mray6288,52.4,,,,,Jordan Montgomery,Luke Weaver,Welington Castillo,Jose Abreu,Jose Altuve,Alex Bregman,Carlos Correa,"George Springer,Josh Reddick,Nicky Delmonico"
451,1063391685,GFallis,52.35,,,,,Tyler Mahle,Luke Weaver,Manny Pina,Jesus Aguilar,Jose Altuve,Manny Machado,Carlos Correa,"George Springer,Kyle Schwarber,Ben Zobrist"
452,1063211945,brpunkrmax,51.6,,,,,Eduardo Rodriguez,Jordan Montgomery,Victor Caratini,Neil Walker,Jose Altuve,Alex Bregman,Carlos Correa,"Aaron Judge,George Springer,Brett Gardner"
453,1063562203,j3lly,50.95,,,,,Mike Clevinger,Eduardo Rodriguez,Welington Castillo,Eric Hosmer,Neil Walker,Matt Davidson,Xander Bogaerts,"J.D. Martinez,Jose Martinez,Niko Goodrum"
454,1063552606,JohnWehner7,50.35,,,,,Tyler Mahle,Luke Weaver,Jesus Sucre,Matt Carpenter,Neil Walker,Kris Bryant,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,George Springer"
455,1063463086,Bozie11,49.9,,,,,Eduardo Rodriguez,Luke Weaver,Victor Caratini,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,J.D. Martinez,Michael Brantley"
456,1063296317,Signature,49.6,,,,,Charlie Morton,Mike Clevinger,Evan Gattis,Joey Votto,Scooter Gennett,Maikel Franco,Jose Peraza,"Tommy Pham,Jesse Winker,Hernan Perez"
457,1063316547,steveezzo,49.55,,,,,Eduardo Rodriguez,Tyler Mahle,Victor Caratini,Yonder Alonso,Whit Merrifield,Alex Bregman,Xander Bogaerts,"Mookie Betts,J.D. Martinez,Andrew Benintendi"
457,1063438194,tinderella,49.55,,,,,Jose Quintana,Eduardo Rodriguez,Evan Gattis,Jose Abreu,Yoan Moncada,Alex Bregman,Carlos Correa,"George Springer,Avisail Garcia,Leury Garcia"
459,1063271784,tmoneyzz,49.45,,,,,Mike Clevinger,Jordan Montgomery,Christian Vazquez,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Marcell Ozuna,Michael Brantley,Albert Almora"
460,1063267714,mariob888,48.35,,,,,Tyler Mahle,Luke Weaver,Tucker Barnhart,Jose Martinez,Jose Altuve,Alex Bregman,Carlos Correa,"Rhys Hoskins,Aaron Judge,Marcell Ozuna"
461,1063536944,REDCOAT85,48.05,,,,,Jake Arrieta,Eduardo Rodriguez,Evan Gattis,Carlos Santana,Jason Kipnis,Kris Bryant,Francisco Lindor,"Michael Brantley,Odubel Herrera,Nick Williams"
462,1063301981,avcomp5,47.05,,,,,Tyler Mahle,Reynaldo Lopez,Welington Castillo,Matt Davidson,Jonathan Schoop,Maikel Franco,Carlos Correa,"Giancarlo Stanton,Aaron Judge,Trey Mancini"
463,1063437376,jsurab,45.55,,,,,Jake Arrieta,Jordan Montgomery,Evan Gattis,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Josh Reddick,Marwin Gonzalez,Derek Fisher"
464,1063446249,windchimesRrude,45.5,,,,,Jake Arrieta,Jose Quintana,Evan Gattis,Matt Carpenter,Jose Altuve,Alex Bregman,Paul DeJong,"Marcell Ozuna,Tommy Pham,Dexter Fowler"
465,1063484413,ebeimfohr,45.1,,,,,Reynaldo Lopez,Jordan Montgomery,Welington Castillo,Jose Abreu,Yoan Moncada,Matt Davidson,Carlos Correa,"Rhys Hoskins,Ryan Braun,Avisail Garcia"
466,1063463752,kuchie02,44.1,,,,,Reynaldo Lopez,Jordan Montgomery,Welington Castillo,Jose Abreu,Jose Altuve,Jose Ramirez,Carlos Correa,"George Springer,Avisail Garcia,Michael Brantley"
467,1063253848,adambrown24,44,,,,,Taijuan Walker,Tyler Mahle,Manny Pina,Paul Goldschmidt,Neil Walker,Alex Bregman,Manny Machado,"Giancarlo Stanton,Aaron Judge,Domingo Santana"
468,1063518361,shanksalot,43.85,,,,,Jake Arrieta,Luke Weaver,Manny Pina,Ryan Braun,Jose Altuve,Kris Bryant,Carlos Correa,"Lorenzo Cain,Domingo Santana,Hernan Perez"
469,1063224992,adambrown24,43.4,,,,,Mike Clevinger,Taijuan Walker,Alex Avila,Eric Hosmer,Jose Altuve,Alex Bregman,Carlos Correa,"Lorenzo Cain,Nicky Delmonico,Nick Williams"
469,1063424490,yolegacy,43.4,,,,,Mike Clevinger,Tyler Mahle,Christian Vazquez,Joey Votto,Scooter Gennett,Eugenio Suarez,Xander Bogaerts,"Aaron Judge,Adam Duvall,Jesse Winker"
471,1062996435,ChipotleAddict,42.55,,,,,Jake Arrieta,Jordan Montgomery,Willson Contreras,Ryan Braun,Jonathan Villar,Kris Bryant,Addison Russell,"Kyle Schwarber,Lorenzo Cain,Domingo Santana"
471,1063024475,papagates,42.55,,,,,Jake Arrieta,Jordan Montgomery,Willson Contreras,Ryan Braun,Jonathan Villar,Kris Bryant,Addison Russell,"Kyle Schwarber,Lorenzo Cain,Domingo Santana"
473,1063310870,fortheoffice,42.05,,,,,Tyler Mahle,Jordan Montgomery,Willson Contreras,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Kyle Schwarber,Michael Brantley,Ben Zobrist"
474,1063434877,jsurab,41.6,,,,,Eduardo Rodriguez,Jordan Montgomery,Andrew Knapp,Edwin Encarnacion,Jose Altuve,Maikel Franco,Carlos Correa,"Rhys Hoskins,Michael Brantley,Nick Williams"
475,1063457472,conan_the_bumbarian,41.55,,,,,Eduardo Rodriguez,Tyler Mahle,Alex Avila,Tyler Austin,Neil Walker,Alex Bregman,Carlos Correa,"Giancarlo Stanton,George Springer,Marwin Gonzalez"
476,1063580532,DraftCheat,41.45,,,,,Mike Clevinger,Reynaldo Lopez,Manny Pina,Jesus Aguilar,Jose Altuve,Alex Bregman,Carlos Correa,"Ryan Braun,Domingo Santana,Hernan Perez"
477,1063303725,fortheoffice,41.25,,,,,Charlie Morton,Jordan Montgomery,Welington Castillo,Jose Abreu,Yoan Moncada,Matt Davidson,Paul DeJong,"Tommy Pham,Avisail Garcia,Dexter Fowler"
478,1063303882,fortheoffice,41.2,,,,,Charlie Morton,Tyler Mahle,Yadier Molina,Matt Carpenter,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Marcell Ozuna,Tommy Pham,Dexter Fowler"
