Rank,EntryId,EntryName,Points,Player,Roster Position,Drafted,FPTS,,,,,,,,
47,1063483750,Notorious,112.55,Josh Reddick,OF,7.40,19,Charlie Morton,Luke Weaver,Evan Gattis,Tyler Austin,Neil Walker,Miguel Andujar,Carlos Correa,"George Springer,Josh Reddick,Marcell Ozuna"
47,1063486108,mazwa,112.55,Tommy Pham,OF,7.00,2,Charlie Morton,Luke Weaver,Willson Contreras,Justin Bour,Ben Zobrist,Kris Bryant,Addison Russell,"Aaron Judge,Albert Almora,Nicky Delmonico"
47,1063567429,cpamike,112.55,Yan Gomes,C,6.60,16,Charlie Morton,Jameson Taillon,Francisco Cervelli,Carlos Santana,Cesar Hernandez,Manny Machado,Jordy Mercer,"Jose Martinez,Odubel Herrera,Trey Mancini"
50,1063107957,wcdenin24,112.4,Matt Carpenter,1B,6.40,2,Jameson Taillon,Reynaldo Lopez,Yan Gomes,Neil Walker,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Adam Jones,Carlos Gomez"
51,1063108461,youdacao,111.7,Cesar Hernandez,2B,6.40,9,Jameson Taillon,Luke Weaver,Caleb Joseph,Trey Mancini,Jonathan Schoop,Kris Bryant,Manny Machado,"Mookie Betts,J.D. Martinez,Adam Jones"
51,1063140943,ezellmt,111.7,Tyler Austin,1B,6.40,14,Jameson Taillon,Luke Weaver,Victor Caratini,Trey Mancini,Neil Walker,Kris Bryant,Manny Machado,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
53,1063446713,cubbiesfan202,111.6,Trey Mancini,1B,6.40,5,Eduardo Rodriguez,Reynaldo Lopez,Willson Contreras,Hanley Ramirez,Ben Zobrist,Rafael Devers,Xander Bogaerts,"Mookie Betts,J.D. Martinez,Hernan Perez"
54,1063099382,hoop2410,111.55,Lorenzo Cain,OF,6.20,6,Charlie Morton,Luke Weaver,Victor Caratini,Neil Walker,Ben Zobrist,Alex Bregman,Carlos Correa,"George Springer,Josh Reddick,Brett Gardner"
55,1063531568,fontastic,111.5,Marcell Ozuna,OF,6.00,3,Jake Arrieta,Jose Quintana,Victor Caratini,Tyler Austin,Neil Walker,Miguel Andujar,Manny Machado,"Giancarlo Stanton,Aaron Judge,Adam Jones"
56,1063467306,Awesemo,110.55,Nicky Delmonico,OF,5.80,2,Charlie Morton,Luke Weaver,Victor Caratini,Neil Walker,Ben Zobrist,Kris Bryant,Addison Russell,"Aaron Judge,Brett Gardner,Albert Almora"
57,1063547995,BernardtheGSD,110.5,Tyler Mahle,P,5.80,-1.5,Jake Arrieta,Jose Quintana,Alex Avila,Edwin Encarnacion,Jose Ramirez,Danny Valencia,Manny Machado,"Gregory Polanco,Adam Jones,Carlos Gomez"
58,1063416266,kkuuyyaa,109.7,Yadier Molina,C,5.40,5,Jameson Taillon,Luke Weaver,Andrew Knapp,Matt Carpenter,Neil Walker,Jose Ramirez,Manny Machado,"Giancarlo Stanton,Rhys Hoskins,Brett Gardner"
59,1063486114,mazwa,109.55,Nick Williams,OF,5.40,5,Charlie Morton,Luke Weaver,Willson Contreras,Justin Bour,Miguel Rojas,Alex Bregman,Carlos Correa,"Aaron Judge,Tommy Pham,Trey Mancini"
60,1063523551,fantasyfever,109.2,Jonathan Schoop,2B,5.20,5,Charlie Morton,Jose Quintana,Victor Caratini,Carlos Santana,Niko Goodrum,Maikel Franco,Eduardo Nunez,"Rhys Hoskins,Odubel Herrera,Nick Williams"
61,1063112453,wcdenin24,108.55,Andrew Knapp,C,5.20,3,Charlie Morton,Jameson Taillon,Welington Castillo,Edwin Encarnacion,Neil Walker,Matt Duffy,Francisco Lindor,"Kevin Kiermaier,Carlos Gomez,Hernan Perez"
61,1063156175,scout326,108.55,Bradley Zimmer,OF,5.00,9,Jose Quintana,Eduardo Rodriguez,Victor Caratini,Hanley Ramirez,Ben Zobrist,Kris Bryant,Eduardo Nunez,"Mookie Betts,J.D. Martinez,Albert Almora"
61,1063253087,dandydon,108.55,Jose Martinez,OF,4.80,0,Charlie Morton,Luke Weaver,Willson Contreras,Trey Mancini,Ben Zobrist,Kris Bryant,Addison Russell,"Aaron Judge,Albert Almora,Dexter Fowler"
