Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
53,1063676620,36ryno,0,60.05,P José Quintana P Jordan Montgomery OF Giancarlo Stanton SS Francisco Lindor 3B José Ramírez 1B Yonder Alonso OF Brett Gardner OF Michael Brantley C Welington Castillo 2B Neil Walker,,Josh Reddick,OF,5.88%,19
54,1063711513,cmc1621,0,59.6,P Eduardo Rodríguez P Jordan Montgomery OF Rhys Hoskins OF Mookie Betts OF J.D. Martinez SS Xander Bogaerts 1B Joey Votto 3B Maikel Franco 2B Neil Walker C Andrew Knapp,,César Hernández,2B,5.88%,9
55,1063572922,wakeywakey (1/2),0,58.1,P Reynaldo López P Jordan Montgomery OF Giancarlo Stanton 3B Kris Bryant OF Kyle Schwarber 1B Ryan Braun C Willson Contreras SS Addison Russell OF Domingo Santana 2B Ben Zobrist,,Yan Gomes,C,5.88%,16
56,1063690005,kwilson11,0,57.85,P Mike Clevinger P Jordan Montgomery 3B Kris Bryant OF Lorenzo Cain OF Ryan Braun C Willson Contreras SS Addison Russell 1B José Martínez OF Domingo Santana 2B Ben Zobrist,,Marwin González,1B,5.88%,5
57,1063594032,gridironguru999,0,56.4,P Jordan Montgomery P Luke Weaver OF Giancarlo Stanton OF Aaron Judge 3B Kris Bryant SS Francisco Lindor 2B José Ramírez C Welington Castillo 1B Tyler Austin OF Dexter Fowler,,Yonder Alonso,1B,5.88%,5
58,1063586035,stalls18,0,55.1,P Reynaldo López P Jordan Montgomery 2B José Altuve SS Carlos Correa 3B Matt Davidson 1B Ryan Braun OF Josh Reddick OF Brett Gardner C Evan Gattis OF Domingo Santana,,Yadier Molina,C,5.88%,5
59,1063665748,da1andonlybc,0,54.4,P Jordan Montgomery P Luke Weaver OF Giancarlo Stanton 3B Kris Bryant SS Francisco Lindor 1B Joey Votto C Willson Contreras OF Brett Gardner 2B Jason Kipnis OF Michael Brantley,,José Martínez,1B,5.88%,0
60,1063605130,mrgoodseats (1/2),0,52.4,P Jordan Montgomery P Luke Weaver OF Giancarlo Stanton 3B Kris Bryant SS Francisco Lindor 2B José Ramírez 1B Joey Votto C Willson Contreras OF Michael Brantley OF Domingo Santana,,Miguel Andújar,3B,5.88%,14
60,1063605154,mrgoodseats (2/2),0,52.4,P Jordan Montgomery P Luke Weaver OF Giancarlo Stanton 3B Kris Bryant SS Francisco Lindor 2B José Ramírez 1B Ryan Braun C Willson Contreras OF Michael Brantley OF Domingo Santana,,Manny Piña,C,4.41%,0
62,1063701922,dpcollects,0,51.4,P Jordan Montgomery P Luke Weaver OF Giancarlo Stanton OF Mookie Betts 3B Kris Bryant SS Carlos Correa 2B José Ramírez 1B Carlos Santana OF Dexter Fowler C Andrew Knapp,,Billy Hamilton,OF,4.41%,0
63,1063609513,elstan11,0,51.05,P Tyler Mahle P Reynaldo López OF Rhys Hoskins 2B José Altuve OF Andrew Benintendi SS Xander Bogaerts 1B Carlos Santana 3B Alex Bregman OF Nick Williams C Andrew Knapp,,Jesse Winker,OF,4.41%,0
64,1063679824,ChipotleAddict (2/2),0,42.55,P Jake Arrieta P Jordan Montgomery 3B Kris Bryant OF Kyle Schwarber OF Lorenzo Cain 1B Ryan Braun C Willson Contreras SS Addison Russell OF Domingo Santana 2B Jonathan Villar,,Matt Davidson,3B,4.41%,2
