Rank,EntryId,EntryName,EntryPoints,Player,Position,PercentDrafted,PlayerPoints,Pitcher1,Pitcher2,Catcher,FirstBase,SecondBase,ThirdBase,ShortStop,Outfield1,Outfield2,Outfield3,ContestDate,ContestName,ContestId,ContestFee,Winnings
77,1055504599,davewiff,104.35,Dixon Machado,2B,1.18,0,Stephen Strasburg,James Paxton,Matt Wieters,Justin Smoak,Yangervis Solarte,Josh Donaldson,Trea Turner,Bryce Harper,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,0
78,1055362279,ChipotleAddict,103.35,Yan Gomes,C,1.18,16,Stephen Strasburg,James Paxton,Brian McCann,Tyler Austin,Neil Walker,Alex Bregman,Didi Gregorius,Aaron Judge,George Springer,Jake Marisnick,20180331,perfect_game,54847274,333,0
78,1055643205,mrgoodseats,103.35,Ian Kinsler,2B,1.18,0,Stephen Strasburg,James Paxton,Mike Marjama,Justin Smoak,Jose Altuve,Alex Bregman,Elvis Andrus,George Springer,Marwin Gonzalez,Steve Pearce,20180331,perfect_game,54847274,333,0
80,1055521917,monds6,103.3,Shin-soo Choo,OF,1.18,2,Jacob deGrom,Carlos Carrasco,Brian McCann,Matt Olson,Yangervis Solarte,Matt Chapman,Marcus Semien,Khris Davis,Matt Joyce,Steve Pearce,20180331,perfect_game,54847274,333,0
81,1055270798,dandydon,102.6,Kyle Seager,3B,1.18,0,Carlos Carrasco,Luis Castillo,Evan Gattis,Luis Valbuena,Jose Altuve,Alex Bregman,Marwin Gonzalez,Mike Trout,George Springer,Justin Upton,20180331,perfect_game,54847274,333,0
82,1055333395,Wieties49,102.55,Rajai Davis,OF,1.18,4,James Paxton,Luis Castillo,Gary Sanchez,Justin Smoak,Jose Altuve,Alex Bregman,Carlos Correa,Giancarlo Stanton,Mike Trout,Matt Joyce,20180331,perfect_game,54847274,333,0
83,1055471453,brpunkrmax,102.05,Stephen Piscotty,OF,1.18,7,Lance McCullers,Luis Castillo,Gary Sanchez,Luis Valbuena,Jose Altuve,Alex Bregman,Carlos Correa,Giancarlo Stanton,George Springer,Billy McKinney,20180331,perfect_game,54847274,333,0
84,1055624618,anilprao88,100.8,Matt Chapman,3B,1.18,12,Jacob deGrom,Luis Castillo,Evan Gattis,Tyler Austin,Neil Walker,J.D. Davis,Marwin Gonzalez,Giancarlo Stanton,Aaron Judge,George Springer,20180331,perfect_game,54847274,333,0
85,1055362277,ChipotleAddict,100.55,Adam Frazier,2B,1.18,0,James Paxton,Luis Castillo,Gary Sanchez,Tyler Austin,Jose Altuve,J.D. Davis,Carlos Correa,Giancarlo Stanton,Aaron Judge,George Springer,20180331,perfect_game,54847274,333,0
86,1055608561,Moogie,99.85,Dexter Fowler,OF,1.18,0,Stephen Strasburg,Trevor Williams,Matt Wieters,Matt Adams,Jose Altuve,Alex Bregman,Marwin Gonzalez,Bryce Harper,George Springer,Jay Bruce,20180331,perfect_game,54847274,333,0
87,1055389661,moklovin,99.8,Rene Rivera,C,1.18,12,Jacob deGrom,Luis Castillo,Gary Sanchez,Joey Gallo,Ian Kinsler,Adrian Beltre,Elvis Andrus,Mike Trout,Justin Upton,Shin-soo Choo,20180331,perfect_game,54847274,333,0
87,1055521914,monds6,99.8,Nicholas Castellanos,OF,1.18,0,Jacob deGrom,Luis Castillo,Evan Gattis,Matt Olson,Jose Altuve,J.D. Davis,Aledmys Diaz,George Springer,Khris Davis,Marwin Gonzalez,20180331,perfect_game,54847274,333,0
