PG/SG,Ian Clark,3600,CHA@NO 03/13/2018 08:00PM ET,11.645999999999999,NO
PG/SG,Malcolm Delaney,3500,OKC@ATL 03/13/2018 07:30PM ET,14.435,ATL
C,Robin Lopez,3500,LAC@CHI 03/13/2018 08:00PM ET,22.284000000000002,CHI
SG,Sindarius Thornwell,3500,LAC@CHI 03/13/2018 08:00PM ET,8.62,LAC
PF/C,Cristiano Felicio,3500,LAC@CHI 03/13/2018 08:00PM ET,9.65,CHI
PG/SG,Shaquille Harrison,3500,CLE@PHO 03/13/2018 10:00PM ET,14.110999999999999,PHO
SG/SF,Cedi Osman,3500,CLE@PHO 03/13/2018 10:00PM ET,7.966,CLE
PG/SG,Delon Wright,3500,TOR@BKN 03/13/2018 07:30PM ET,18.448,TOR
SG/SF,Marco Belinelli,3500,IND@PHI 03/13/2018 07:00PM ET,18.44,PHI
PF/C,Trevor Booker,3500,IND@PHI 03/13/2018 07:00PM ET,15.514000000000001,IND
PF/C,Joffrey Lauvergne,3500,ORL@SA 03/13/2018 08:30PM ET,10.261,SA
PF/C,Noah Vonleh,3400,LAC@CHI 03/13/2018 08:00PM ET,12.145,CHI
C,Boban Marjanovic,3400,LAC@CHI 03/13/2018 08:00PM ET,11.812999999999999,LAC
PF,Jared Dudley,3400,CLE@PHO 03/13/2018 10:00PM ET,8.878,PHO
PF,Mike Scott,3400,MIN@WAS 03/13/2018 07:00PM ET,14.875,WAS
C,Ian Mahinmi,3400,MIN@WAS 03/13/2018 07:00PM ET,11.773,WAS
PG/SG,Tyus Jones,3400,MIN@WAS 03/13/2018 07:00PM ET,13.423,MIN
PG,Derrick White,3400,ORL@SA 03/13/2018 08:30PM ET,7.667000000000001,SA
PF/C,Bismack Biyombo,3400,ORL@SA 03/13/2018 08:30PM ET,16.534000000000002,ORL
PG/SG,Bryn Forbes,3400,ORL@SA 03/13/2018 08:30PM ET,11.981,SA
C,Cody Zeller,3400,CHA@NO 03/13/2018 08:00PM ET,16.871,CHA
PF/C,Patrick Patterson,3300,OKC@ATL 03/13/2018 07:30PM ET,9.431000000000001,OKC
SG,Jaylen Morris,3300,OKC@ATL 03/13/2018 07:30PM ET,10.417,ATL
SF,Royce O'Neale,3300,DET@UTA 03/13/2018 09:00PM ET,12.264000000000001,UTA
PF/C,Eric Moreland,3300,DET@UTA 03/13/2018 09:00PM ET,10.051,DET
PG,Dwight Buycks,3300,DET@UTA 03/13/2018 09:00PM ET,14.135,DET
PG/SG,Devin Harris,3300,DEN@LAL 03/13/2018 10:30PM ET,15.125,DEN
PF/C,Dante Cunningham,3300,TOR@BKN 03/13/2018 07:30PM ET,13.468,BKN
SF/PF,Troy Williams,3300,DAL@NY 03/13/2018 07:30PM ET,11.062999999999999,NY
PG/SG,Kyle Collinsworth,3300,DAL@NY 03/13/2018 07:30PM ET,9.663,DAL
PG,Jarrett Jack,3300,DAL@NY 03/13/2018 07:30PM ET,21.013,NY
PF/C,Luke Kornet,3300,DAL@NY 03/13/2018 07:30PM ET,11.219000000000001,NY
SG/SF,Glenn Robinson III,3300,IND@PHI 03/13/2018 07:00PM ET,7.611000000000001,IND
PF/C,Amir Johnson,3300,IND@PHI 03/13/2018 07:00PM ET,14.212,PHI
PG/SG,Markelle Fultz,3300,IND@PHI 03/13/2018 07:00PM ET,12.187999999999999,PHI
PF/C,Gorgui Dieng,3300,MIN@WAS 03/13/2018 07:00PM ET,15.142000000000001,MIN
SG,Jodie Meeks,3300,MIN@WAS 03/13/2018 07:00PM ET,10.953,WAS
PG/SG,Raymond Felton,3200,OKC@ATL 03/13/2018 07:30PM ET,15.029000000000002,OKC
C,Miles Plumlee,3200,OKC@ATL 03/13/2018 07:30PM ET,11.989,ATL
PG,Josh Magette,3200,OKC@ATL 03/13/2018 07:30PM ET,8.0,ATL
C,Dakari Johnson,3200,OKC@ATL 03/13/2018 07:30PM ET,4.971,OKC
PG,Jawun Evans,3200,LAC@CHI 03/13/2018 08:00PM ET,13.1,LAC
SF/PF,Jonas Jerebko,3200,DET@UTA 03/13/2018 09:00PM ET,12.190999999999999,UTA
SF/PF,Anthony Tolliver,3200,DET@UTA 03/13/2018 09:00PM ET,14.599,DET
PG,Jose Calderon,3200,CLE@PHO 03/13/2018 10:00PM ET,9.222000000000001,CLE
PG/SG,Malik Beasley,3200,DEN@LAL 03/13/2018 10:30PM ET,6.699,DEN
SF/PF,Darrell Arthur,3200,DEN@LAL 03/13/2018 10:30PM ET,6.202999999999999,DEN
