57,1055434029,Duncaroo,114.6,Luis Valbuena,1B,2.94,3,P Jacob deGrom P Stephen Strasburg OF Nelson Cruz 2B Robinson Cano 1B Justin Smoak 3B Kyle Seager OF Nomar Mazara SS Jean Segura OF Randal Grichuk C Mike Marjama
58,1055589289,camv22,113.65,Yoenis Cespedes,OF,2.94,22,P Michael Wacha P Matt Shoemaker OF Giancarlo Stanton OF Aaron Judge 2B Jose Altuve OF George Springer SS Carlos Correa C Evan Gattis 3B Brandon Drury 1B Matt Adams
59,1055529650,Quahogs,111.9,Michael Fulmer,P,2.94,0,P Stephen Strasburg P Luis Castillo 2B Jose Altuve OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Jose Martinez OF Matt Joyce OF Randal Grichuk
60,1055520520,giantsquid,111.05,Miguel Cabrera,1B,2.94,0,P James Paxton P Marco Estrada OF Bryce Harper OF Mike Trout 2B Jose Altuve OF George Springer 3B Alex Bregman SS Marwin Gonzalez C Evan Gattis 1B Matt Adams
61,1055595542,bric75 (2/4),110.9,Bruce Maxwell,C,2.94,3,P Stephen Strasburg P Luis Castillo OF Mike Trout OF Aaron Judge OF George Springer C Gary Sanchez SS Didi Gregorius 3B Adrian Beltre 2B Neil Walker 1B Tyler Austin
62,1055401807,jontlevy,110.55,Aledmys Diaz,SS,2.35,0,P James Paxton P Luis Castillo OF Mike Trout 2B Jose Altuve OF George Springer SS Carlos Correa C Gary Sanchez OF Justin Upton 1B Albert Pujols 3B J.D. Davis
63,1055607085,Stonesalltheway (2/2),110.25,Jose Martinez,1B,2.35,10,P Jacob deGrom P James Paxton 2B Jose Altuve OF George Springer SS Marwin Gonzalez C Evan Gattis 1B Justin Smoak OF Matt Joyce 3B J.D. Davis OF Matt Adams
64,1055495377,thepickler (4/5),109.55,Leonys Martin,OF,2.35,0,P James Paxton P Luis Castillo OF Giancarlo Stanton OF Aaron Judge 2B Jose Altuve OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Tyler Austin
65,1055362275,ChipotleAddict (1/5),109.25,John Hicks,C,2.35,0,P Jacob deGrom P James Paxton OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Justin Smoak OF Randal Grichuk OF Steve Pearce 2B Yangervis Solarte
66,1055302399,Ebonwraith,108.35,Tommy Pham,OF,2.35,7,P Stephen Strasburg P James Paxton OF Bryce Harper 2B Jose Altuve OF George Springer 3B Josh Donaldson OF Randal Grichuk 1B Matt Adams SS Yangervis Solarte C Mike Marjama
67,1055581967,wilson1,107.8,Joey Votto,1B,1.76,5,P Jacob deGrom P Luis Castillo OF George Springer SS Carlos Correa 3B Alex Bregman OF Joey Gallo OF Marwin Gonzalez C Evan Gattis 1B Justin Smoak 2B Neil Walker
68,1055626439,Kmilk2,106.55,Juan Centeno,C,1.76,0,P James Paxton P Luis Castillo OF Mike Trout 2B Jose Altuve OF George Springer SS Carlos Correa C Gary Sanchez 1B Matt Olson OF Marwin Gonzalez 3B J.D. Davis
69,1055583682,isupol (1/3),105.75,Dee Gordon,OF,1.76,8,P Jacob deGrom P Lance McCullers Jr. OF Khris Davis 1B Matt Olson 3B Josh Donaldson SS Marcus Semien 2B Jed Lowrie OF Randal Grichuk OF Steve Pearce C Bruce Maxwell
70,1055410846,felder15 (3/3),105.7,Adrian Beltre,3B,1.76,7,P Lance McCullers Jr. P Michael Wacha OF Giancarlo Stanton OF Aaron Judge C Gary Sanchez SS Zack Cozart 1B Justin Smoak 3B Brandon Drury 2B Neil Walker OF Kevin Pillar
71,1055642923,devo1099,105.55,Jose Ramirez,3B,1.76,0,P James Paxton P Luis Castillo OF Giancarlo Stanton 2B Jose Altuve OF George Springer SS Carlos Correa 1B Joey Votto 3B Alex Bregman C Evan Gattis OF Scott Schebler
72,1055595541,bric75 (1/4),105.25,Adrian Gonzalez,1B,1.76,3,P Jacob deGrom P James Paxton OF Giancarlo Stanton 2B Jose Altuve 3B Josh Donaldson C Evan Gattis 1B Justin Smoak OF Randal Grichuk OF Steve Pearce SS Yangervis Solarte
73,1055510276,davewiff (2/4),104.9,Nomar Mazara,OF,1.76,8,P Stephen Strasburg P Luis Castillo OF George Springer SS Carlos Correa 3B Alex Bregman 1B Matt Olson OF Joey Gallo C Evan Gattis 2B Neil Walker OF Jake Marisnick
74,1055617619,Tiii,104.85,Jeimer Candelario,3B,1.76,0,P Stephen Strasburg P Michael Fulmer 2B Jose Altuve OF George Springer OF Yoenis Cespedes 3B Josh Donaldson SS Marcus Semien 1B Justin Smoak C John Hicks OF Steve Pearce
75,1055327346,thepickler (1/5),104.75,Daniel Mengden,P,1.76,7.95,P Michael Wacha P Luis Castillo OF Giancarlo Stanton OF Aaron Judge 2B Jose Altuve OF George Springer SS Carlos Correa 3B Josh Donaldson C Evan Gattis 1B Justin Smoak
76,1055310252,wakeywakey (3/3),104.55,Asdrubal Cabrera,2B,1.18,17,P James Paxton P Luis Castillo OF Mike Trout 2B Jose Altuve OF George Springer SS Carlos Correa C Gary Sanchez 3B Alex Bregman OF Joey Gallo 1B Justin Smoak
77,1055504599,davewiff (1/4),104.35,Dixon Machado,2B,1.18,0,P Stephen Strasburg P James Paxton OF Bryce Harper SS Trea Turner 3B Josh Donaldson 1B Justin Smoak C Matt Wieters OF Randal Grichuk OF Steve Pearce 2B Yangervis Solarte
