Name,Team,Opp.,Position,Salary,my_proj
Ryan Braun ,@MIL,CIN,1B / OF ,4600,4.8
Eric Thames ,@MIL,CIN,1B,4600,8
A.J. Pollock ,@ARI,SF,OF,4600,9.2
Zack Cozart ,@LAA,BOS,2B / 3B ,4600,8.8
Justin Upton ,@LAA,BOS,OF,4500,12.6
Nelson Cruz ,@SEA,HOU,OF,4500,10.6
Trea Turner ,WSH,@NYM,SS,4400,7.6
Joey Votto ,CIN,@MIL,1B,4400,6
Kyle Schwarber ,@CHC,STL,OF,4400,8.4
Matt Davidson ,CWS,@OAK,1B / 3B ,4400,5.2
Yasiel Puig ,LAD,@SD,OF,4400,6.2
Dee Gordon ,@SEA,HOU,OF,4400,8
Corey Dickerson ,@PIT,COL,OF,4300,8.8
Ozzie Albies ,@ATL,PHI,2B,4300,17.2
Matt Chapman ,@OAK,CWS,3B,4300,10.6
DJ LeMahieu ,COL,@PIT,2B,4200,13.2
Miguel Sano ,@MIN,CLE,3B,4200,8.2
Yoenis Cespedes ,@NYM,WSH,OF,4200,3
Marcell Ozuna ,STL,@CHC,OF,4200,6.8
Jose Abreu ,CWS,@OAK,1B,4200,9.6
Corey Seager ,LAD,@SD,SS,4200,5.2
Mitch Haniger ,@SEA,HOU,OF,4200,10
Starling Marte ,@PIT,COL,OF,4100,12.8
Todd Frazier ,@NYM,WSH,3B,4100,12.8
Cesar Hernandez ,PHI,@ATL,2B,4100,8
Travis Shaw ,@MIL,CIN,3B,4100,5.4
Tim Anderson ,CWS,@OAK,SS,4100,4.2
Ian Kinsler ,@LAA,BOS,2B,4100,9.8
Andrew Benintendi ,BOS,@LAA,OF,4100,15.2
Cody Bellinger ,LAD,@SD,1B,4100,9.6
Alex Bregman ,HOU,@SEA,3B,4100,8
Carlos Gonzalez ,COL,@PIT,OF,4000,6.8
Josh Bell ,@PIT,COL,1B,4000,6.2
Javier Baez ,@CHC,STL,2B,4000,16.8
David Peralta ,@ARI,SF,OF,4000,11
Matt Olson ,@OAK,CWS,1B,4000,6.2
Evan Gattis ,HOU,@SEA,C,4000,2.8
Michael Brantley ,CLE,@MIN,OF,3900,6.4
Ryan Zimmerman ,WSH,@NYM,1B,3900,2.4
Willson Contreras ,@CHC,STL,C,3900,8.8
Paul DeJong ,STL,@CHC,SS,3900,5
Jed Lowrie ,@OAK,CWS,2B,3900,15
Josh Reddick ,HOU,@SEA,OF,3900,5.6
Yonder Alonso ,CLE,@MIN,1B,3800,5.2
Asdrubal Cabrera ,@NYM,WSH,2B,3800,9.2
Maikel Franco ,PHI,@ATL,3B,3800,4
Lorenzo Cain ,@MIL,CIN,OF,3800,5.8
Kyle Seager ,@SEA,HOU,3B,3800,13
Jean Segura ,@SEA,HOU,SS,3800,6.2
Brian McCann ,HOU,@SEA,C,3800,3.4
Ian Desmond ,COL,@PIT,1B / OF ,3700,4.2
Trevor Story ,COL,@PIT,SS,3700,6.2
Yadier Molina ,STL,@CHC,C,3700,9.6
Jose Martinez ,STL,@CHC,1B,3700,14
