Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
33,1090094724,bw5126 (1/3),0,99.15,P Gio Gonzalez P Alex Wood OF Mitch Haniger OF Nelson Cruz SS Jean Segura OF Kevin Pillar 3B Yangervis Solarte 2B Robinson Canó 1B Justin Smoak C Mike Zunino,,Robinson Canó,2B,11.32%,0
33,1090407693,bh9999 (3/3),0,99.15,P Gio Gonzalez P Alex Wood SS Manny Machado 3B Josh Donaldson 1B Cody Bellinger OF Chris Taylor 2B Jonathan Schoop C Yasmani Grandal OF Matt Kemp OF Yasiel Puig,,Russell Martin,C,11.32%,7
33,1090485195,Ebone17,0,99.15,P Gio Gonzalez P Alex Wood OF J.D. Martinez SS Didi Gregorius OF Nelson Cruz 3B Mike Moustakas 2B Robinson Canó 1B Lucas Duda OF Brett Gardner C Sandy Leon,,Ronald Acuña Jr.,OF,10.38%,4
36,1090365464,mazwa (2/3),0,98.45,P Masahiro Tanaka P Alex Wood OF Aaron Judge SS Trea Turner 2B Whit Merrifield OF Dee Gordon 3B Mike Moustakas OF Jorge Soler C Salvador Perez 1B Lucas Duda,,Michael A. Taylor,OF,9.43%,3
37,1090603925,bric75 (2/3),0,97.05,P Masahiro Tanaka P Joey Lucchesi OF Giancarlo Stanton 3B Josh Donaldson C Gary Sánchez SS Didi Gregorius OF Odúbel Herrera 2B César Hernández 1B Carlos Santana OF Aaron Altherr,,Gary Sánchez,C,9.43%,8
38,1090494917,lsahr,0,95.8,P Gio Gonzalez P Chris Stratton OF J.D. Martinez SS Manny Machado 3B Mike Moustakas OF Jorge Soler C Salvador Perez OF Trey Mancini 2B Jonathan Schoop 1B Lucas Duda,,Jean Segura,SS,8.49%,15
39,1090370814,papagates (3/3),0,95.45,P Masahiro Tanaka P Alex Wood OF Aaron Judge SS Trea Turner OF Ronald Acuña Jr. C Gary Sánchez 3B Anthony Rendon 1B Ryan Zimmerman OF Michael A. Taylor 2B Neil Walker,,Didi Gregorius,SS,8.49%,2
40,1090457291,hencoup,0,95.15,P Gio Gonzalez P Alex Wood SS Manny Machado OF Nelson Cruz OF Odúbel Herrera C Buster Posey 1B Carlos Santana OF Adam Jones 2B Jonathan Schoop 3B Danny Valencia,,Carlos Santana,1B,8.49%,23
41,1090465512,mrgoodseats (3/3),0,93.45,P Masahiro Tanaka P Alex Wood SS Manny Machado OF Giancarlo Stanton 3B Josh Donaldson C Gary Sánchez OF Nelson Cruz OF Aaron Altherr 2B Jonathan Schoop 1B Lucas Duda,,Aaron Altherr,OF,8.49%,9
42,1090180967,AThrougHZ,0,93.15,P Gio Gonzalez P Alex Wood 3B Josh Donaldson OF Nelson Cruz SS Jean Segura 1B Brandon Belt OF Teoscar Hernández OF Trey Mancini C Mike Zunino 2B Alen Hanson,,Ryon Healy,1B,7.55%,0
43,1090161758,junkyard56,0,92.25,P Alex Wood SS Manny Machado 3B Josh Donaldson OF Mitch Haniger OF Teoscar Hernández 1B Mark Trumbo OF Adam Jones 2B Jonathan Schoop C Caleb Joseph P Rick Porcello,,Ryan Zimmerman,1B,7.55%,8
44,1090603924,bric75 (1/3),0,92.15,P Gio Gonzalez P Alex Wood SS Manny Machado 3B Mike Moustakas OF Andrew McCutchen C Salvador Perez OF Adam Jones OF Trey Mancini 2B Jonathan Schoop 1B Lucas Duda,,Tyler Flowers,C,7.55%,0
45,1090003227,Awesemo (1/3),0,91.9,P Patrick Corbin P Nick Pivetta SS Trea Turner 3B Mike Moustakas OF Teoscar Hernández C Salvador Perez 2B Howie Kendrick 1B Ryan Zimmerman OF Michael A. Taylor OF Moisés Sierra,,Dee Gordon,OF,7.55%,2
46,1090505803,jmwhsc,0,91.55,P Julio Teheran P Alex Wood OF J.D. Martinez SS Manny Machado 3B Josh Donaldson OF Mark Trumbo C Buster Posey OF Adam Jones 1B Trey Mancini 2B Jonathan Schoop,,Whit Merrifield,2B,6.60%,12
47,1090090857,dandydon,0,91.45,P Masahiro Tanaka P Alex Wood OF Aaron Judge SS Manny Machado OF Giancarlo Stanton 1B Brandon Belt 3B Evan Longoria OF Andrew McCutchen C Buster Posey 2B Alen Hanson,,José Bautista,3B,6.60%,0
48,1090150175,crump11,0,91.15,P Gio Gonzalez P Alex Wood OF Mitch Haniger OF Nelson Cruz OF Odúbel Herrera 3B Maikel Franco 1B Ryon Healy 2B Robinson Canó C Mike Zunino SS Alen Hanson,,Maikel Franco,3B,6.60%,22
49,1090585612,Bales,0,89.05,P Patrick Corbin P Masahiro Tanaka 3B Evan Longoria OF Mark Trumbo C Buster Posey OF Adam Jones OF Trey Mancini 2B Jonathan Schoop SS Alen Hanson 1B Chris Davis,,Joey Lucchesi,P,6.60%,17.05
50,1090108202,IamPGM (1/3),0,88.5,P Patrick Corbin P Alex Wood OF Nelson Cruz OF Odúbel Herrera OF Teoscar Hernández C Salvador Perez 3B Kyle Seager 1B Justin Smoak SS Johan Camargo 2B Lourdes Gurriel Jr.,,Danny Valencia,3B,5.66%,0
51,1090049559,ChipotleAddict (3/3),0,88.45,P Masahiro Tanaka P Alex Wood OF Aaron Judge OF Giancarlo Stanton SS Didi Gregorius 1B Brandon Belt 3B Evan Longoria OF Andrew McCutchen C Buster Posey 2B Alen Hanson,,César Hernández,2B,5.66%,4
51,1090365465,mazwa (3/3),0,88.45,P Masahiro Tanaka P Alex Wood OF Aaron Judge SS Manny Machado 3B Josh Donaldson OF Dee Gordon C Salvador Perez OF Adam Jones 1B Trey Mancini 2B Jonathan Schoop,,Chris Stratton,P,5.66%,9.1
