OF,Daniel Palka,L,cws
OF,David Dahl,L,col
OF,Delino DeShields,R,tex
OF,Derek Dietrich,L,mia
OF,Domingo Santana,R,mil
OF,Dwight Smith Jr.,L,tor
OF,Ender Inciarte,L,atl
OF,George Springer,R,hou
OF,Giancarlo Stanton,R,nyy
OF,Greg Allen,S,cle
OF,Gregory Polanco,L,pit
OF,Jackie Bradley Jr.,L,bos
OF,JaCoby Jones,R,det
OF,Jake Marisnick,R,hou
OF,Jay Bruce,L,nym
OF,Jesse Winker,L,cin
OF,Jon Jay,L,kan
OF,Jorge Soler,R,kan
OF,Juan Soto,L,was
OF,Kevin Pillar,R,tor
OF,Kole Calhoun,L,laa
OF,Leonys Martin,L,det
OF,Lewis Brinson,R,mia
OF,Lorenzo Cain,R,mil
OF,Mallex Smith,L,tam
OF,Marcell Ozuna,R,stl
OF,Melky Cabrera,S,cle
OF,Michael A. Taylor,R,was
OF,Michael Brantley,L,cle
OF,Michael Conforto,L,nym
OF,Mike Trout,R,laa
OF,Mookie Betts,R,bos
OF,Nicholas Castellanos,R,det
OF,Nick Markakis,L,atl
OF,Nick Williams,L,phi
OF,Nomar Mazara,L,tex
OF,Rhys Hoskins,R,phi
OF,Rob Refsnyder,R,tam
OF,Ronald Acuna Jr.,R,atl
OF,Scott Schebler,L,cin
OF,Shin-soo Choo,L,tex
OF,Shohei Ohtani,R,laa
OF,Starling Marte,R,pit
OF,Tommy Pham,R,stl
