Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,Player,RosterPosition,PercentDrafted,FTPS,EntryFee,Winnings
32,1055651085,GrindersCal (2/2),0,125.6,P Carlos Carrasco P Luis Castillo OF Mike Trout 2B José Altuve OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Justin Smoak OF Steve Pearce,Jed Lowrie,2B,8.24,7.0,333,0
34,1055331796,madoublet98,0,124.8,P Jacob deGrom P Luis Castillo OF Mike Trout OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Justin Smoak 2B Neil Walker OF Steve Pearce,Zack Cozart,SS,7.06,23.0,333,0
34,1055428414,LionKing1957,0,124.8,P Jacob deGrom P Luis Castillo OF Mike Trout OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Justin Smoak 2B Neil Walker OF Steve Pearce,Brian McCann,C,7.06,14.0,333,0
36,1055389659,moklovin (1/3),0,123.8,P Jacob deGrom P Luis Castillo 2B José Altuve OF George Springer SS Carlos Correa 3B Josh Donaldson C Evan Gattis 1B Justin Smoak OF Matt Joyce OF Steve Pearce,Tyler Austin,1B,6.47,30.0,333,0
37,1055521916,monds6 (3/5),0,123.6,P Jacob deGrom P Stephen Strasburg 2B José Altuve 3B Josh Donaldson 1B Justin Smoak OF Stephen Piscotty OF Randal Grichuk OF Steve Pearce C Bruce Maxwell SS Yangervis Solarte,Travis d'Arnaud,C,5.88,16.0,333,0
38,1055624617,anilprao88 (4/5),0,122.2,P James Paxton P Michael Wacha OF Bryce Harper SS Trea Turner OF George Springer 3B Alex Bregman OF Adam Eaton 2B Howie Kendrick C Brian McCann 1B Matt Adams,Marcus Semien,SS,5.29,5.0,333,0
39,1055557526,Awesemo (2/5),0,121.45,P Jacob deGrom P Michael Wacha OF George Springer SS Carlos Correa 3B Alex Bregman OF Marwin González 1B Justin Smoak C Brian McCann OF Steve Pearce 2B Yangervis Solarte,Justin Upton,OF,5.29,9.0,333,0
40,1055315374,felder15 (1/3),0,120.8,P Jacob deGrom P Luis Castillo OF Aaron Judge OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Justin Smoak 2B Neil Walker OF Kevin Pillar,Mike Marjama,C,5.29,0.0,333,0
41,1055583740,isupol (3/3),0,120.6,P Jacob deGrom P Stephen Strasburg 3B Josh Donaldson SS Marcus Semien 1B Justin Smoak 2B Jed Lowrie OF Randal Grichuk OF Kevin Pillar OF Steve Pearce C Bruce Maxwell,Kole Calhoun,OF,5.29,0.0,333,0
42,1055625455,BigT44,0,119.8,P Jacob deGrom P Luis Castillo 2B José Altuve OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Justin Smoak OF Randal Grichuk OF Steve Pearce,Anthony Rendon,3B,5.29,5.0,333,0
