"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG/SF","Dillon Brooks",4800,"CHI@MEM 03/15/2018 08:00PM ET",17.769,"MEM"
"PF/C","Dewayne Dedmon",4700,"CHA@ATL 03/15/2018 07:30PM ET",23.847,"ATL"
"SF/PF","Jae Crowder",4700,"PHO@UTA 03/15/2018 09:00PM ET",17.644,"UTA"
"PF/C","Kyle O'Quinn",4700,"PHI@NY 03/15/2018 07:30PM ET",19.629,"NY"
"SF/PF","Trevor Ariza",4700,"LAC@HOU 03/15/2018 08:00PM ET",24.347,"HOU"
"PG/SG","Milos Teodosic",4700,"LAC@HOU 03/15/2018 08:00PM ET",21.608,"LAC"
"PF/C","Frank Kaminsky",4600,"CHA@ATL 03/15/2018 07:30PM ET",19.742,"CHA"
"PF/C","Domantas Sabonis",4600,"TOR@IND 03/15/2018 07:00PM ET",25.89,"IND"
"PG","Darren Collison",4600,"TOR@IND 03/15/2018 07:00PM ET",27.3,"IND"
"SG/SF","Rodney Hood",4600,"CLE@POR 03/15/2018 10:00PM ET",23.69,"CLE"
"SG/SF","David Nwaba",4600,"CHI@MEM 03/15/2018 08:00PM ET",17.464,"CHI"
"SF/PF","Rudy Gay",4600,"NO@SA 03/15/2018 08:30PM ET",22.221,"SA"
"SG/SF","Jeremy Lamb",4500,"CHA@ATL 03/15/2018 07:30PM ET",24.078,"CHA"
"PG","Cory Joseph",4500,"TOR@IND 03/15/2018 07:00PM ET",19.272,"IND"
"PG/SG","Fred VanVleet",4400,"TOR@IND 03/15/2018 07:00PM ET",18.641,"TOR"
"SF/PF","Jeff Green",4400,"CLE@POR 03/15/2018 10:00PM ET",18.043,"CLE"
"C","Tyson Chandler",4300,"PHO@UTA 03/15/2018 09:00PM ET",20.967,"PHO"
"PF/C","Ed Davis",4300,"CLE@POR 03/15/2018 10:00PM ET",17.989,"POR"
"SF/PF","Al-Farouq Aminu",4200,"CLE@POR 03/15/2018 10:00PM ET",23.31,"POR"
"SG/SF","James Ennis III",4200,"DET@DEN 03/15/2018 09:00PM ET",15.181,"DET"
"SG/SF","Danny Green",4200,"NO@SA 03/15/2018 08:30PM ET",19.987,"SA"
"PG/SG","Patty Mills",4200,"NO@SA 03/15/2018 08:30PM ET",17.801,"SA"
"SG/SF","E'Twaun Moore",4200,"NO@SA 03/15/2018 08:30PM ET",21.295,"NO"
"PG/SG","Tyler Dorsey",4100,"CHA@ATL 03/15/2018 07:30PM ET",10.768,"ATL"
"SG/SF","Lance Stephenson",4100,"TOR@IND 03/15/2018 07:00PM ET",21.173,"IND"
"PG/SG","Shabazz Napier",4100,"CLE@POR 03/15/2018 10:00PM ET",17.938,"POR"
"PF/C","Mason Plumlee",4100,"DET@DEN 03/15/2018 09:00PM ET",20.975,"DEN"
"SF/PF","Marvin Williams",4000,"CHA@ATL 03/15/2018 07:30PM ET",19.512,"CHA"
"PF","Pascal Siakam",4000,"TOR@IND 03/15/2018 07:00PM ET",17.97,"TOR"
"SG/SF","Kyle Korver",4000,"CLE@POR 03/15/2018 10:00PM ET",16.112,"CLE"
"PF/C","Tristan Thompson",4000,"CLE@POR 03/15/2018 10:00PM ET",16.595,"CLE"
"SF/PF","Ersan Ilyasova",4000,"PHI@NY 03/15/2018 07:30PM ET",21.882,"PHI"
"PG","Mario Chalmers",4000,"CHI@MEM 03/15/2018 08:00PM ET",18.054,"MEM"
"PG/SG","Avery Bradley",4000,"LAC@HOU 03/15/2018 08:00PM ET",22.761,"LAC"
"PF/C","Ryan Anderson",4000,"LAC@HOU 03/15/2018 08:00PM ET",20.197,"HOU"
"SG/SF","Stanley Johnson",4000,"DET@DEN 03/15/2018 09:00PM ET",18.255,"DET"
"SF/PF","Davis Bertans",4000,"NO@SA 03/15/2018 08:30PM ET",13.103,"SA"
"PF/C","Dragan Bender",3900,"PHO@UTA 03/15/2018 09:00PM ET",15.261,"PHO"
"SG/SF","J.R. Smith",3900,"CLE@POR 03/15/2018 10:00PM ET",17.558,"CLE"
"PG","Tony Parker",3900,"NO@SA 03/15/2018 08:30PM ET",17.671,"SA"
"PF/C","Mike Muscala",3800,"CHA@ATL 03/15/2018 07:30PM ET",15.506,"ATL"
"SG","Troy Daniels",3800,"PHO@UTA 03/15/2018 09:00PM ET",12.643,"PHO"
"PF/C","Jakob Poeltl",3800,"TOR@IND 03/15/2018 07:00PM ET",16.825,"TOR"
"SG/SF","Evan Turner",3800,"CLE@POR 03/15/2018 10:00PM ET",16.863,"POR"
"PF/C","Noah Vonleh",3800,"CHI@MEM 03/15/2018 08:00PM ET",12.352,"CHI"
"PF/C","Deyonta Davis",3800,"CHI@MEM 03/15/2018 08:00PM ET",12.511,"MEM"
"PG/SG","Cameron Payne",3800,"CHI@MEM 03/15/2018 08:00PM ET",18.9,"CHI"
"SG","Kobi Simmons",3800,"CHI@MEM 03/15/2018 08:00PM ET",11.95,"MEM"
"SG/SF","Luke Kennard",3800,"DET@DEN 03/15/2018 09:00PM ET",13.134,"DET"
"SF","Michael Kidd-Gilchrist",3700,"CHA@ATL 03/15/2018 07:30PM ET",18.338,"CHA"
"PG","Isaiah Taylor",3700,"CHA@ATL 03/15/2018 07:30PM ET",11.904,"ATL"
"C","Alex Len",3700,"PHO@UTA 03/15/2018 09:00PM ET",21.148,"PHO"
"SG/SF","C.J. Miles",3700,"TOR@IND 03/15/2018 07:00PM ET",16.877,"TOR"
"PG","T.J. McConnell",3700,"PHI@NY 03/15/2018 07:30PM ET",19.913,"PHI"
"SG/SF","Justin Holiday",3700,"CHI@MEM 03/15/2018 08:00PM ET",25.462,"CHI"
"SF/PF","Trey Lyles",3700,"DET@DEN 03/15/2018 09:00PM ET",20.762,"DEN"
"SG/SF","Manu Ginobili",3700,"NO@SA 03/15/2018 08:30PM ET",16.726,"SA"
"C","Emeka Okafor",3700,"NO@SA 03/15/2018 08:30PM ET",17.077,"NO"
"PF/C","Cheick Diallo",3700,"NO@SA 03/15/2018 08:30PM ET",10.095,"NO"
"PG/SG","Shaquille Harrison",3600,"PHO@UTA 03/15/2018 09:00PM ET",14.025,"PHO"
"PF/C","Marquese Chriss",3600,"PHO@UTA 03/15/2018 09:00PM ET",17.803,"PHO"
"PG","Tyler Ulis",3600,"PHO@UTA 03/15/2018 09:00PM ET",16.297,"PHO"
"PG/SG","Delon Wright",3600,"TOR@IND 03/15/2018 07:00PM ET",18.5,"TOR"
"PF/C","Richaun Holmes",3600,"PHI@NY 03/15/2018 07:30PM ET",15.147,"PHI"
"PG/SG","Frank Ntilikina",3600,"PHI@NY 03/15/2018 07:30PM ET",14.462,"NY"
"PG","Xavier Rathan-Mayes",3600,"CHI@MEM 03/15/2018 08:00PM ET",15.05,"MEM"
"PG/SG","Wayne Selden Jr.",3600,"CHI@MEM 03/15/2018 08:00PM ET",12.66,"MEM"
